model,samples,event_rate,mean_probability,brier,log_loss,roc_auc,target_id,target_kind,horizon_start,horizon_end,threshold,walk_forward_event_rate,prediction_rows,baseline_brier,baseline_log_loss,brier_lift,log_loss_lift
price_only,998,0.3116232464929859,0.3986071205579838,0.2194137171612137,0.6305050963437699,0.5899455669601277,absolute_21_60_05pct,absolute,21,60,0.05,0.3116232464929859,5988,0.2394550772879004,0.6721955013691442,0.020041360126686697,0.041690405025374244
price_only,998,0.2645290581162324,0.356827548219463,0.209288259463984,0.608491351056455,0.5328730080092478,relative_21_60_05pct,relative,21,60,0.05,0.2645290581162324,5988,0.2139556924838714,0.6204557300399163,0.004667433019887396,0.011964378983461255
price_only,968,0.3295454545454545,0.4498676513397281,0.2614930478500714,0.7189886647214282,0.401963957088552,absolute_61_90_08pct,absolute,61,90,0.08,0.3295454545454545,5808,0.2647300498680644,0.7236224899891492,0.0032370020179930403,0.004633825267721048
price_plus_market_regime,968,0.2603305785123967,0.4226341027252473,0.2495019713622221,0.6939483288190171,0.354133413141793,relative_61_90_08pct,relative,61,90,0.08,0.2603305785123967,5808,0.2350045970720783,0.6643674854444908,-0.014497374290143805,-0.029580843374526378
price_only,938,0.302771855010661,0.5324736248826052,0.3164383683124036,0.8358038409849325,0.2674602661842615,absolute_91_120_10pct,absolute,91,120,0.1,0.302771855010661,5628,0.3016462428467188,0.8007206010639429,-0.014792125465684758,-0.035083239920989606
price_only,938,0.2729211087420042,0.4589080891246552,0.2767364743209818,0.7503920683700844,0.2390086601906158,relative_91_120_10pct,relative,91,120,0.1,0.2729211087420042,5628,0.2472081628902736,0.6892951326064783,-0.02952831143070822,-0.061096935763606086
