l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801080.SI,801086.SI,电子化学品Ⅱ,301630.SZ,同宇新材,20250627,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688150.SH,莱特光电,20220304,,Y
801080.SI,801086.SI,电子化学品Ⅱ,301319.SZ,唯特偶,20220909,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300285.SZ,国瓷材料,20220729,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300684.SZ,中石科技,20220729,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300655.SZ,晶瑞电材,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300537.SZ,广信材料,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688371.SH,菲沃泰,20220725,,Y
801080.SI,801086.SI,电子化学品Ⅱ,002741.SZ,光华科技,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,002643.SZ,万润股份,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688603.SH,天承科技,20230630,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688035.SH,德邦科技,20220902,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300576.SZ,容大感光,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,603078.SH,江化微,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688268.SH,华特气体,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300429.SZ,强力新材,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300398.SZ,飞凯材料,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,603002.SH,宏昌电子,20211014,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688106.SH,金宏气体,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,603931.SH,格林达,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300054.SZ,鼎龙股份,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688550.SH,瑞联新材,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688548.SH,广钢气体,20230731,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688019.SH,安集科技,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300236.SZ,上海新阳,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688549.SH,中巨芯-U,20230821,,Y
801080.SI,801086.SI,电子化学品Ⅱ,002584.SZ,西陇科学,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300481.SZ,濮阳惠成,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688359.SH,三孚新科,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,300346.SZ,南大光电,20210730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688545.SH,兴福电子,20250103,,Y
801080.SI,801086.SI,电子化学品Ⅱ,920526.BJ,凯华材料,20221227,,Y
801080.SI,801086.SI,电子化学品Ⅱ,301489.SZ,思泉新材,20231013,,Y
801080.SI,801086.SI,电子化学品Ⅱ,600330.SH,天通股份,20240730,,Y
801080.SI,801086.SI,电子化学品Ⅱ,688683.SH,莱尔科技,20240730,,Y
