l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801730.SI,801737.SI,电池,600847.SH,万里股份,19940324,,Y
801730.SI,801737.SI,电池,300410.SZ,正业科技,20220729,,Y
801730.SI,801737.SI,电池,301238.SZ,瑞泰新材,20220602,,Y
801730.SI,801737.SI,电池,300953.SZ,震裕科技,20220729,,Y
801730.SI,801737.SI,电池,001283.SZ,豪鹏科技,20220826,,Y
801730.SI,801737.SI,电池,002074.SZ,国轩高科,20061018,,Y
801730.SI,801737.SI,电池,688388.SH,嘉元科技,20220729,,Y
801730.SI,801737.SI,电池,002245.SZ,蔚蓝锂芯,20080116,,Y
801730.SI,801737.SI,电池,300068.SZ,南都电源,20100409,,Y
801730.SI,801737.SI,电池,000049.SZ,德赛电池,20121231,,Y
801730.SI,801737.SI,电池,688353.SH,华盛锂电,20220624,,Y
801730.SI,801737.SI,电池,002580.SZ,圣阳股份,20110426,,Y
801730.SI,801737.SI,电池,601311.SH,骆驼股份,20110525,,Y
801730.SI,801737.SI,电池,300014.SZ,亿纬锂能,20200724,,Y
801730.SI,801737.SI,电池,301222.SZ,浙江恒威,20220225,,Y
801730.SI,801737.SI,电池,002759.SZ,天际股份,20150525,,Y
801730.SI,801737.SI,电池,002850.SZ,科达利,20170214,,Y
801730.SI,801737.SI,电池,301349.SZ,信德新材,20220819,,Y
801730.SI,801737.SI,电池,688339.SH,亿华通-U,20200722,,Y
801730.SI,801737.SI,电池,688567.SH,孚能科技,20200629,,Y
801730.SI,801737.SI,电池,301152.SZ,天力锂能,20220812,,Y
801730.SI,801737.SI,电池,688275.SH,万润新能,20220909,,Y
801730.SI,801737.SI,电池,688392.SH,骄成超声,20220909,,Y
801730.SI,801737.SI,电池,920522.BJ,纳科诺尔,20231120,,Y
801730.SI,801737.SI,电池,300750.SZ,宁德时代,20180528,,Y
801730.SI,801737.SI,电池,001301.SZ,尚太科技,20221121,,Y
801730.SI,801737.SI,电池,688063.SH,派能科技,20201214,,Y
801730.SI,801737.SI,电池,301150.SZ,中一科技,20220729,,Y
801730.SI,801737.SI,电池,605378.SH,野马电池,20210325,,Y
801730.SI,801737.SI,电池,920523.BJ,德瑞锂电,20210603,,Y
801730.SI,801737.SI,电池,920185.BJ,贝特瑞,20200727,,Y
801730.SI,801737.SI,电池,920239.BJ,长虹能源,20210209,,Y
801730.SI,801737.SI,电池,002733.SZ,雄韬股份,20140127,,Y
801730.SI,801737.SI,电池,688778.SH,厦钨新能,20210806,,Y
801730.SI,801737.SI,电池,301325.SZ,曼恩斯特,20230504,,Y
801730.SI,801737.SI,电池,688819.SH,天能股份,20210104,,Y
801730.SI,801737.SI,电池,300116.SZ,*ST保力(退市),20180713,,Y
801730.SI,801737.SI,电池,300207.SZ,欣旺达,20111010,,Y
801730.SI,801737.SI,电池,300438.SZ,鹏辉能源,20210224,,Y
801730.SI,801737.SI,电池,603659.SH,璞泰来,20200724,,Y
801730.SI,801737.SI,电池,688707.SH,振华新材,20210827,,Y
801730.SI,801737.SI,电池,002805.SZ,丰元股份,20220729,,Y
801730.SI,801737.SI,电池,300173.SZ,ST福能,20220729,,Y
801730.SI,801737.SI,电池,600478.SH,科力远,20170629,,Y
801730.SI,801737.SI,电池,300648.SZ,星云股份,20210730,,Y
801730.SI,801737.SI,电池,300568.SZ,星源材质,20210730,,Y
801730.SI,801737.SI,电池,301121.SZ,紫建电子,20220725,,Y
801730.SI,801737.SI,电池,300919.SZ,中伟新材,20210730,,Y
801730.SI,801737.SI,电池,603026.SH,石大胜华,20210730,,Y
801730.SI,801737.SI,电池,300073.SZ,当升科技,20210730,,Y
801730.SI,801737.SI,电池,002709.SZ,天赐材料,20210730,,Y
801730.SI,801737.SI,电池,300037.SZ,新宙邦,20210730,,Y
801730.SI,801737.SI,电池,301662.SZ,宏工科技,20250328,,Y
801730.SI,801737.SI,电池,600241.SH,时代万恒,20220729,,Y
801730.SI,801737.SI,电池,002340.SZ,格林美,20210730,,Y
801730.SI,801737.SI,电池,300035.SZ,中科电气,20210730,,Y
801730.SI,801737.SI,电池,600110.SH,诺德股份,20220729,,Y
801730.SI,801737.SI,电池,688733.SH,壹石通,20210806,,Y
801730.SI,801737.SI,电池,688148.SH,芳源股份,20210806,,Y
801730.SI,801737.SI,电池,688779.SH,五矿新能,20210806,,Y
801730.SI,801737.SI,电池,301210.SZ,金杨精密,20230609,,Y
801730.SI,801737.SI,电池,301292.SZ,海科新源,20230609,,Y
801730.SI,801737.SI,电池,688638.SH,誉辰智能,20230630,,Y
801730.SI,801737.SI,电池,000982.SZ,中银绒业(退市),20230704,,Y
801730.SI,801737.SI,电池,688772.SH,珠海冠宇,20210917,,Y
