l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801720.SI,801724.SI,专业工程,000065.SZ,北方国际,19980605,,Y
801720.SI,801724.SI,专业工程,600496.SH,精工钢构,20020605,,Y
801720.SI,801724.SI,专业工程,600477.SH,杭萧钢构,20031107,,Y
801720.SI,801724.SI,专业工程,600970.SH,中材国际,20050323,,Y
801720.SI,801724.SI,专业工程,002051.SZ,中工国际,20060616,,Y
801720.SI,801724.SI,专业工程,002135.SZ,东南网架,20070528,,Y
801720.SI,801724.SI,专业工程,002140.SZ,东华科技,20070711,,Y
801720.SI,801724.SI,专业工程,002116.SZ,中国海诚,20070214,,Y
801720.SI,801724.SI,专业工程,002542.SZ,*ST中岩,20110119,,Y
801720.SI,801724.SI,专业工程,002593.SZ,日上集团,20110616,,Y
801720.SI,801724.SI,专业工程,605178.SH,时空科技,20220729,,Y
801720.SI,801724.SI,专业工程,601618.SH,中国中冶,20090901,,Y
801720.SI,801724.SI,专业工程,601117.SH,中国化学,20091221,,Y
801720.SI,801724.SI,专业工程,002469.SZ,三维化学,20100830,,Y
801720.SI,801724.SI,专业工程,002541.SZ,鸿路钢构,20110106,,Y
801720.SI,801724.SI,专业工程,002743.SZ,富煌钢构,20150115,,Y
801720.SI,801724.SI,专业工程,000928.SZ,中钢国际,20150701,,Y
801720.SI,801724.SI,专业工程,603098.SH,森特股份,20161201,,Y
801720.SI,801724.SI,专业工程,300517.SZ,海波重科,20160624,,Y
801720.SI,801724.SI,专业工程,603959.SH,百利科技,20160509,,Y
801720.SI,801724.SI,专业工程,603929.SH,亚翔集成,20161213,,Y
801720.SI,801724.SI,专业工程,601133.SH,柏诚股份,20230327,,Y
801720.SI,801724.SI,专业工程,300712.SZ,永福股份,20171030,,Y
801720.SI,801724.SI,专业工程,300384.SZ,三联虹普,20190724,,Y
801720.SI,801724.SI,专业工程,601068.SH,中铝国际,20180809,,Y
801720.SI,801724.SI,专业工程,000018.SZ,神城A退(退市),20180713,,Y
801720.SI,801724.SI,专业工程,300986.SZ,志特新材,20220727,,Y
801720.SI,801724.SI,专业工程,605167.SH,利柏特,20210709,,Y
801720.SI,801724.SI,专业工程,600321.SH,正源股份(退市),20220729,,Y
801720.SI,801724.SI,专业工程,003001.SZ,中岩大地,20200831,,Y
801720.SI,801724.SI,专业工程,301046.SZ,能辉科技,20210806,,Y
801720.SI,801724.SI,专业工程,601096.SH,宏盛华源,20231208,,Y
801720.SI,801724.SI,专业工程,000032.SZ,深桑达A,20220729,,Y
801720.SI,801724.SI,专业工程,002564.SZ,天沃科技,20220729,,Y
801720.SI,801724.SI,专业工程,920019.BJ,铜冠矿建,20241011,,Y
801720.SI,801724.SI,专业工程,300029.SZ,*ST天龙,20220729,,Y
801720.SI,801724.SI,专业工程,605598.SH,上海港湾,20210820,,Y
801720.SI,801724.SI,专业工程,603163.SH,圣晖集成,20220902,,Y
801720.SI,801724.SI,专业工程,300117.SZ,*ST嘉寓(退市),20210730,,Y
801720.SI,801724.SI,专业工程,605289.SH,罗曼股份,20210730,,Y
801720.SI,801724.SI,专业工程,603637.SH,镇海股份,20170116,,Y
801720.SI,801724.SI,专业工程,601226.SH,华电科工,20140127,,Y
801720.SI,801724.SI,专业工程,002323.SZ,雅博股份,20220701,,Y
801720.SI,801724.SI,专业工程,920057.BJ,百甲科技,20230317,,Y
