l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801720.SI,801723.SI,基础建设,600820.SH,隧道股份,19940128,,Y
801720.SI,801723.SI,基础建设,600068.SH,葛洲坝(退市),19970526,,Y
801720.SI,801723.SI,基础建设,600502.SH,安徽建工,20220729,,Y
801720.SI,801723.SI,基础建设,600512.SH,腾达建设,20021226,,Y
801720.SI,801723.SI,基础建设,601390.SH,中国中铁,20071203,,Y
801720.SI,801723.SI,基础建设,600284.SH,浦东建设,20040311,,Y
801720.SI,801723.SI,基础建设,600039.SH,四川路桥,20030325,,Y
801720.SI,801723.SI,基础建设,002062.SZ,宏润建设,20060808,,Y
801720.SI,801723.SI,基础建设,601669.SH,中国电建,20110927,,Y
801720.SI,801723.SI,基础建设,601186.SH,中国铁建,20080226,,Y
801720.SI,801723.SI,基础建设,002307.SZ,北新路桥,20091027,,Y
801720.SI,801723.SI,基础建设,002431.SZ,棕榈股份,20100524,,Y
801720.SI,801723.SI,基础建设,002628.SZ,成都路桥,20111025,,Y
801720.SI,801723.SI,基础建设,002586.SZ,ST围海,20110525,,Y
801720.SI,801723.SI,基础建设,300197.SZ,节能铁汉,20110321,,Y
801720.SI,801723.SI,基础建设,300355.SZ,蒙草生态,20120917,,Y
801720.SI,801723.SI,基础建设,002663.SZ,普邦股份,20120306,,Y
801720.SI,801723.SI,基础建设,601800.SH,中国交建,20120214,,Y
801720.SI,801723.SI,基础建设,000498.SZ,山东路桥,20130701,,Y
801720.SI,801723.SI,基础建设,300495.SZ,*ST美尚(退市),20150701,,Y
801720.SI,801723.SI,基础建设,000010.SZ,美丽生态,20150701,,Y
801720.SI,801723.SI,基础建设,603778.SH,国晟科技,20151105,,Y
801720.SI,801723.SI,基础建设,002717.SZ,ST岭南,20140108,,Y
801720.SI,801723.SI,基础建设,002200.SZ,*ST交投,20130701,,Y
801720.SI,801723.SI,基础建设,002061.SZ,浙江交科,20180713,,Y
801720.SI,801723.SI,基础建设,603176.SH,汇通集团,20211217,,Y
801720.SI,801723.SI,基础建设,603955.SH,大千生态,20170124,,Y
801720.SI,801723.SI,基础建设,603388.SH,*ST元成(退市),20170214,,Y
801720.SI,801723.SI,基础建设,002310.SZ,东方新能,20170526,,Y
801720.SI,801723.SI,基础建设,603316.SH,诚邦股份,20170511,,Y
801720.SI,801723.SI,基础建设,300536.SZ,农尚环境,20160823,,Y
801720.SI,801723.SI,基础建设,603007.SH,花王股份,20160718,,Y
801720.SI,801723.SI,基础建设,603843.SH,*ST正平,20160804,,Y
801720.SI,801723.SI,基础建设,601611.SH,中国核建,20160525,,Y
801720.SI,801723.SI,基础建设,603359.SH,东珠生态,20170807,,Y
801720.SI,801723.SI,基础建设,603815.SH,交建股份,20190909,,Y
801720.SI,801723.SI,基础建设,300649.SZ,杭州园林,20170504,,Y
801720.SI,801723.SI,基础建设,002941.SZ,新疆交建,20181030,,Y
801720.SI,801723.SI,基础建设,300948.SZ,冠中生态,20210205,,Y
801720.SI,801723.SI,基础建设,300949.SZ,奥雅股份,20210219,,Y
801720.SI,801723.SI,基础建设,605303.SH,园林股份,20210114,,Y
801720.SI,801723.SI,基础建设,300982.SZ,苏文电能,20210406,,Y
801720.SI,801723.SI,基础建设,601868.SH,中国能建,20210928,,Y
801720.SI,801723.SI,基础建设,002775.SZ,文科股份,20150119,,Y
801720.SI,801723.SI,基础建设,301098.SZ,金埔园林,20211029,,Y
801720.SI,801723.SI,基础建设,600853.SH,龙建股份,20020830,,Y
801720.SI,801723.SI,基础建设,600852.SH,*ST中川(退市),19940404,,Y
801720.SI,801723.SI,基础建设,600263.SH,路桥建设(退市),20000725,,Y
801720.SI,801723.SI,基础建设,001267.SZ,汇绿生态,20211117,,Y
801720.SI,801723.SI,基础建设,001396.SZ,誉帆科技,20251212,,Y
