l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801120.SI,801124.SI,食品加工,000895.SZ,双汇发展,19981210,,Y
801120.SI,801124.SI,食品加工,600530.SH,交大昂立,20010702,,Y
801120.SI,801124.SI,食品加工,002330.SZ,得利斯,20091216,,Y
801120.SI,801124.SI,食品加工,002515.SZ,金字火腿,20101122,,Y
801120.SI,801124.SI,食品加工,002840.SZ,华统股份,20161219,,Y
801120.SI,801124.SI,食品加工,002726.SZ,龙大美食,20140120,,Y
801120.SI,801124.SI,食品加工,600073.SH,光明肉业,20190724,,Y
801120.SI,801124.SI,食品加工,603237.SH,五芳斋,20220819,,Y
801120.SI,801124.SI,食品加工,603262.SH,技源集团,20250711,,Y
801120.SI,801124.SI,食品加工,603102.SH,百合股份,20220114,,Y
801120.SI,801124.SI,食品加工,920826.BJ,盖世食品,20210112,,Y
801120.SI,801124.SI,食品加工,002661.SZ,克明食品,20230331,,Y
801120.SI,801124.SI,食品加工,000529.SZ,广弘控股,20230512,,Y
801120.SI,801124.SI,食品加工,600381.SH,*ST春天,20210730,,Y
801120.SI,801124.SI,食品加工,002216.SZ,三全食品,20210730,,Y
801120.SI,801124.SI,食品加工,002702.SZ,海欣食品,20210730,,Y
801120.SI,801124.SI,食品加工,300791.SZ,仙乐健康,20210730,,Y
801120.SI,801124.SI,食品加工,001215.SZ,千味央厨,20210820,,Y
801120.SI,801124.SI,食品加工,605567.SH,春雪食品,20210917,,Y
801120.SI,801124.SI,食品加工,603536.SH,惠发食品,20210730,,Y
801120.SI,801124.SI,食品加工,300146.SZ,汤臣倍健,20210730,,Y
801120.SI,801124.SI,食品加工,605338.SH,巴比食品,20210730,,Y
801120.SI,801124.SI,食品加工,605089.SH,味知香,20210730,,Y
801120.SI,801124.SI,食品加工,002626.SZ,金达威,20210730,,Y
801120.SI,801124.SI,食品加工,603345.SH,安井食品,20210730,,Y
801120.SI,801124.SI,食品加工,920429.BJ,康比特,20221214,,Y
801120.SI,801124.SI,食品加工,000639.SZ,西王食品,20240730,,Y
