l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801780.SI,801783.SI,股份制银行Ⅱ,000001.SZ,平安银行,19910403,,Y
801780.SI,801783.SI,股份制银行Ⅱ,600016.SH,民生银行,20001219,,Y
801780.SI,801783.SI,股份制银行Ⅱ,600000.SH,浦发银行,19991110,,Y
801780.SI,801783.SI,股份制银行Ⅱ,600036.SH,招商银行,20020409,,Y
801780.SI,801783.SI,股份制银行Ⅱ,600015.SH,华夏银行,20030910,,Y
801780.SI,801783.SI,股份制银行Ⅱ,601998.SH,中信银行,20070427,,Y
801780.SI,801783.SI,股份制银行Ⅱ,601166.SH,兴业银行,20070205,,Y
801780.SI,801783.SI,股份制银行Ⅱ,601818.SH,光大银行,20100805,,Y
801780.SI,801783.SI,股份制银行Ⅱ,601916.SH,浙商银行,20191126,,Y
