l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801880.SI,801092.SI,汽车服务,600653.SH,申华控股,19901219,,Y
801880.SI,801092.SI,汽车服务,000996.SZ,中期退(退市),20000718,,Y
801880.SI,801092.SI,汽车服务,000757.SZ,浩物股份,19970627,,Y
801880.SI,801092.SI,汽车服务,600335.SH,国机汽车,20010305,,Y
801880.SI,801092.SI,汽车服务,600386.SH,北巴传媒,20010208,,Y
801880.SI,801092.SI,汽车服务,601258.SH,*ST庞大(退市),20110415,,Y
801880.SI,801092.SI,汽车服务,601965.SH,中国汽研,20120530,,Y
801880.SI,801092.SI,汽车服务,002684.SZ,猛狮退(退市),20180713,,Y
801880.SI,801092.SI,汽车服务,301215.SZ,中汽股份,20220218,,Y
801880.SI,801092.SI,汽车服务,920030.BJ,德众汽车,20201127,,Y
801880.SI,801092.SI,汽车服务,600297.SH,广汇汽车(退市),20150701,,Y
801880.SI,801092.SI,汽车服务,600822.SH,上海物贸,20210730,,Y
801880.SI,801092.SI,汽车服务,300825.SZ,阿尔特,20200316,,Y
801880.SI,801092.SI,汽车服务,000701.SZ,厦门信达,20240730,,Y
801880.SI,801092.SI,汽车服务,600676.SH,交运股份,20240730,,Y
