l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801770.SI,801223.SI,通信服务,600804.SH,退市鹏博(退市),19940103,,Y
801770.SI,801223.SI,通信服务,600289.SH,ST信通,20000720,,Y
801770.SI,801223.SI,通信服务,000839.SZ,国安股份,20220729,,Y
801770.SI,801223.SI,通信服务,600485.SH,*ST信威(退市),20030804,,Y
801770.SI,801223.SI,通信服务,002115.SZ,三维通信,20070214,,Y
801770.SI,801223.SI,通信服务,002123.SZ,梦网科技,20070328,,Y
801770.SI,801223.SI,通信服务,300050.SZ,世纪鼎利,20100105,,Y
801770.SI,801223.SI,通信服务,002359.SZ,北讯退(退市),20100125,,Y
801770.SI,801223.SI,通信服务,002467.SZ,二六三,20100818,,Y
801770.SI,801223.SI,通信服务,300025.SZ,华星创业,20091014,,Y
801770.SI,801223.SI,通信服务,300081.SZ,ST恒信,20100507,,Y
801770.SI,801223.SI,通信服务,300211.SZ,*ST亿通,20110425,,Y
801770.SI,801223.SI,通信服务,301139.SZ,元道通信,20220624,,Y
801770.SI,801223.SI,通信服务,002544.SZ,普天科技,20110119,,Y
801770.SI,801223.SI,通信服务,300310.SZ,宜通世纪,20120416,,Y
801770.SI,801223.SI,通信服务,300292.SZ,吴通控股,20120221,,Y
801770.SI,801223.SI,通信服务,300560.SZ,中富通,20161028,,Y
801770.SI,801223.SI,通信服务,300571.SZ,平治信息,20161201,,Y
801770.SI,801223.SI,通信服务,000971.SZ,*ST高升(退市),20170526,,Y
801770.SI,801223.SI,通信服务,603206.SH,嘉环科技,20220415,,Y
801770.SI,801223.SI,通信服务,000889.SZ,中嘉博创,20070702,,Y
801770.SI,801223.SI,通信服务,600941.SH,中国移动,20211217,,Y
801770.SI,801223.SI,通信服务,603322.SH,超讯通信,20160718,,Y
801770.SI,801223.SI,通信服务,603559.SH,ST通脉,20161201,,Y
801770.SI,801223.SI,通信服务,300921.SZ,南凌科技,20201214,,Y
801770.SI,801223.SI,通信服务,002929.SZ,润建股份,20180212,,Y
801770.SI,801223.SI,通信服务,603220.SH,中贝通信,20181030,,Y
801770.SI,801223.SI,通信服务,300959.SZ,线上线下,20210312,,Y
801770.SI,801223.SI,通信服务,920924.BJ,广脉科技,20211103,,Y
801770.SI,801223.SI,通信服务,600050.SH,中国联通,20021008,,Y
801770.SI,801223.SI,通信服务,301380.SZ,挖金客,20220930,,Y
801770.SI,801223.SI,通信服务,301382.SZ,蜂助手,20230504,,Y
801770.SI,801223.SI,通信服务,301428.SZ,世纪恒通,20230504,,Y
801770.SI,801223.SI,通信服务,601728.SH,中国电信,20210813,,Y
801770.SI,801223.SI,通信服务,002148.SZ,北纬科技,20220805,,Y
801770.SI,801223.SI,通信服务,300513.SZ,恒实科技,20190724,,Y
801770.SI,801223.SI,通信服务,300603.SZ,立昂技术,20220729,,Y
801770.SI,801223.SI,通信服务,300383.SZ,光环新网,20230704,,Y
801770.SI,801223.SI,通信服务,300442.SZ,润泽科技,20230704,,Y
801770.SI,801223.SI,通信服务,300738.SZ,奥飞数据,20230704,,Y
801770.SI,801223.SI,通信服务,603881.SH,数据港,20230704,,Y
801770.SI,801223.SI,通信服务,300578.SZ,会畅科技,20170116,,Y
801770.SI,801223.SI,通信服务,300597.SZ,吉大通信,20170116,,Y
