l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801150.SI,801153.SI,医疗器械,600055.SH,万东医疗,19970519,,Y
801150.SI,801153.SI,医疗器械,688114.SH,华大智造,20220826,,Y
801150.SI,801153.SI,医疗器械,301363.SZ,美好医疗,20220916,,Y
801150.SI,801153.SI,医疗器械,600529.SH,山东药玻,20020603,,Y
801150.SI,801153.SI,医疗器械,600587.SH,新华医疗,20020927,,Y
801150.SI,801153.SI,医疗器械,002022.SZ,科华生物,20040719,,Y
801150.SI,801153.SI,医疗器械,002030.SZ,达安基因,20040806,,Y
801150.SI,801153.SI,医疗器械,688151.SH,华强科技,20220729,,Y
801150.SI,801153.SI,医疗器械,002223.SZ,鱼跃医疗,20080102,,Y
801150.SI,801153.SI,医疗器械,300003.SZ,乐普医疗,20090122,,Y
801150.SI,801153.SI,医疗器械,301234.SZ,五洲医疗,20220624,,Y
801150.SI,801153.SI,医疗器械,300273.SZ,和佳退(退市),20110118,,Y
801150.SI,801153.SI,医疗器械,300246.SZ,宝莱特,20110111,,Y
801150.SI,801153.SI,医疗器械,300206.SZ,理邦仪器,20110113,,Y
801150.SI,801153.SI,医疗器械,300396.SZ,迪瑞医疗,20140110,,Y
801150.SI,801153.SI,医疗器械,300238.SZ,冠昊生物,20110127,,Y
801150.SI,801153.SI,医疗器械,300298.SZ,三诺生物,20120106,,Y
801150.SI,801153.SI,医疗器械,300326.SZ,ST凯利,20120105,,Y
801150.SI,801153.SI,医疗器械,603309.SH,维力医疗,20150115,,Y
801150.SI,801153.SI,医疗器械,300453.SZ,三鑫医疗,20150106,,Y
801150.SI,801153.SI,医疗器械,300439.SZ,美康生物,20150113,,Y
801150.SI,801153.SI,医疗器械,300463.SZ,迈克生物,20150525,,Y
801150.SI,801153.SI,医疗器械,300482.SZ,万孚生物,20150116,,Y
801150.SI,801153.SI,医疗器械,301097.SZ,天益医疗,20220318,,Y
801150.SI,801153.SI,医疗器械,300529.SZ,健帆生物,20160718,,Y
