ts_code,industry_name,trade_date,stage,action,radar_score,trend_score,startup_score,breadth_score,finance_score,overheat_score,weakening_score,ret_20,ret_60,ret_120,rs_20,rs_60,rs_120,rank_improve_20,amount_share,amount_share_ratio,pe,pb,pe_temp,pb_temp,member_count,breadth_coverage,above_20_ratio,above_60_ratio,above_120_ratio,new_high_60_ratio,positive_ret_20_ratio,positive_ret_60_ratio,median_member_ret_20,median_member_ret_60,leader_gap_60,financial_member_count,financial_coverage,sales_positive_ratio,profit_positive_ratio,profit_improve_ratio,cashflow_positive_ratio,median_q_sales_yoy,median_q_netprofit_yoy,status_note,breadth_note,finance_note,confirm_note,refute_note
801086.SI,电子化学品Ⅱ,2026-05-21,高位拥挤,持有但不追,76.68574005803038,98.64516129032258,72.3810138248848,80.91428571428571,65.48571428571428,97.81327871650453,0.2822580645161288,0.22289059502526554,0.3096216660419564,0.7023344147911612,0.20786216614606,0.29600120299474186,0.600459218336252,0.12096774193548387,0.01710730833882076,1.3580774443121342,100.16,6.5,0.9947089947089947,0.9947089947089947,35,1.0,0.8,0.9428571428571428,0.9428571428571428,0.0,0.9142857142857143,0.8571428571428571,0.17602040816326525,0.2869538270839789,0.5520163443798752,35,1.0,0.8857142857142857,0.6285714285714286,0.5142857142857142,0.6,15.2054,9.5727,成交关注度升温；20/60/120日趋势同向；短期热度偏高,中期转强成分多；龙头领先过大,利润正增长覆盖高,宽度扩散；财务景气支持,龙头独舞风险；短期热度高
801081.SI,半导体,2026-05-21,高位拥挤,持有但不追,76.14249128794782,97.87096774193549,78.34017595307918,73.63636363636364,62.37178993323061,98.35106246799795,0.0,0.2787284041736502,0.308490686375422,0.5361129067650354,0.26369997529444467,0.29487022332820745,0.43423771031012626,0.22580645161290325,0.158118834947152,1.3416897689862473,115.17,9.17,0.9272486772486772,0.9973544973544973,178,0.9887640449438202,0.7556818181818182,0.8693181818181818,0.8295454545454546,0.022727272727272728,0.8863636363636364,0.7159090909090909,0.1719277033384511,0.15384615384615397,0.46370647969052226,178,0.9943820224719101,0.807909604519774,0.5706214689265536,0.6079545454545454,0.5028248587570622,22.8175,16.8602,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,中期转强成分多；龙头领先过大,利润同比改善扩散,宽度扩散；财务景气支持；盘面排名抬升,龙头独舞风险；短期热度高
801731.SI,电机Ⅱ,2026-05-21,高位拥挤,持有但不追,72.32651775046936,76.6774193548387,96.25253456221199,57.0,58.7989417989418,83.48559907834102,3.1048387096774204,0.07157332082183565,-0.01423101378294167,0.02776721984580477,0.05654489194263013,-0.027851476830156208,-0.0741079766091044,0.5322580645161291,0.005289657285553272,1.2011299276528185,63.46,4.12,0.8042328042328042,0.8743386243386243,28,1.0,0.6071428571428571,0.75,0.6428571428571429,0.03571428571428571,0.7142857142857143,0.39285714285714285,0.04538635538856539,-0.04029015452334772,0.34692258527342557,28,1.0,0.6071428571428571,0.5,0.6296296296296297,0.6428571428571429,2.7767999999999997,-0.08389999999999986,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,中期转强成分多；龙头领先过大,利润同比改善扩散,宽度开始跟；盘面排名抬升,龙头独舞风险；短期热度高
801083.SI,元件,2026-05-21,高位拥挤,持有但不追,71.55434203789042,98.89516129032258,61.40163850486431,70.34920634920634,59.2642089093702,95.20526113671275,0.8467741935483863,0.20800513584526215,0.5337905757654309,0.6993525112129804,0.19297670696605662,0.5201701127182163,0.5974773147580712,0.016129032258064502,0.04208239768663551,1.1595560338791104,75.21,9.33,0.9933862433862434,0.9947089947089947,65,0.9692307692307692,0.6031746031746031,0.8253968253968254,0.8571428571428571,0.015873015873015872,0.7142857142857143,0.8253968253968254,0.08980213089802125,0.24597935179560593,0.5345434185202801,65,0.9692307692307692,0.8571428571428571,0.5238095238095238,0.3709677419354839,0.6666666666666666,19.8369,2.7056,成交关注度升温；20/60/120日趋势同向；短期热度偏高,中期转强成分多；龙头领先过大,财务景气中性,宽度扩散；利润覆盖改善,龙头独舞风险；短期热度高
801082.SI,其他电子Ⅱ,2026-05-21,高位拥挤,持有但不追,71.54203470277,91.71774193548387,77.38888587693141,58.76470588235295,58.41176470588235,91.3957159924902,1.9758064516129015,0.08257787902338465,0.1237689253004306,0.21975134535687624,0.06754945014417912,0.11014846225321606,0.11787614890196707,0.2661290322580645,0.01048290102887505,1.2167720383361738,67.09,6.41,0.75,0.9616402116402116,35,0.9714285714285714,0.5882352941176471,0.6764705882352942,0.6470588235294118,0.029411764705882353,0.7058823529411765,0.6176470588235294,0.07496532586836924,0.12182296231375989,0.4160205549663578,35,0.9714285714285714,0.8235294117647058,0.5588235294117647,0.4117647058823529,0.5588235294117647,17.802999999999997,10.5097,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,中期转强成分多；龙头领先过大,财务景气中性,宽度开始跟；利润覆盖改善；盘面排名抬升,龙头独舞风险；短期热度高
801116.SI,家电零部件Ⅱ,2026-05-21,高位拥挤,持有但不追,70.38514080901177,89.44354838709677,92.57917050691243,43.77142857142856,46.171428571428564,90.03001792114695,2.2580645161290342,0.07750030097565741,0.03808787006623193,0.23925977526036912,0.062471872096451886,0.024467407019017395,0.13738457880545996,0.5403225806451613,0.008328604178636964,1.2034129979505461,50.05,4.64,0.9920634920634921,0.9801587301587301,35,1.0,0.5142857142857142,0.5142857142857142,0.45714285714285713,0.08571428571428572,0.45714285714285713,0.42857142857142855,-0.018787878787878687,-0.04182804027885367,0.37010345079445944,35,1.0,0.45714285714285713,0.3142857142857143,0.4857142857142857,0.6571428571428571,-2.5951,-29.1074,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,龙头领先过大,利润覆盖偏弱,盘面排名抬升,龙头独舞风险；短期热度高
801078.SI,自动化设备,2026-05-21,高位拥挤,持有但不追,69.58751243297962,97.4758064516129,63.05918745696276,61.5632183908046,54.50574712643679,93.21797661717015,0.5645161290322576,0.21557601155724293,0.28418201397221,0.5461038500865585,0.2005475826780374,0.27056155092499545,0.4442286536316493,0.06451612903225812,0.027120315170962087,1.1228443765405531,93.24,6.85,0.996031746031746,0.9973544973544973,88,0.9886363636363636,0.7126436781609196,0.735632183908046,0.6896551724137931,0.034482758620689655,0.7126436781609196,0.5402298850574713,0.07737406558226267,0.013982349495321844,0.5060583416942445,88,0.9886363636363636,0.7126436781609196,0.4827586206896552,0.5632183908045977,0.41379310344827586,18.5141,-0.9835,20/60/120日趋势同向；短期热度偏高,中期转强成分多；龙头领先过大,财务景气中性,宽度开始跟,龙头独舞风险；短期热度高
801084.SI,光学光电子,2026-05-21,高位拥挤,持有但不追,68.7986465972374,92.25,65.11340327483086,59.553191489361694,50.90526315789474,83.3534519542584,2.540322580645163,0.07596484236150758,0.12334829009367643,0.26644522063251586,0.060936413482302054,0.10972782704646189,0.1645700241776067,0.12903225806451613,0.03146402810537508,1.0810790173092373,63.69,2.65,0.7222222222222222,0.9986772486772487,99,0.9494949494949495,0.648936170212766,0.6914893617021277,0.6595744680851063,0.07446808510638298,0.6808510638297872,0.574468085106383,0.05690187779779188,0.06101694915254252,0.3970846939853833,99,0.9595959595959596,0.6210526315789474,0.4105263157894737,0.47368421052631576,0.5684210526315789,7.5152,-18.0608,20/60/120日趋势同向；短期热度偏高,中期转强成分多；龙头领先过大,财务景气中性,宽度开始跟,龙头独舞风险；短期热度高
801085.SI,消费电子,2026-05-21,高位拥挤,持有但不追,67.65382185914444,93.22580645161291,72.68506260764325,50.38383838383839,49.070707070707066,94.19342037890425,1.6935483870967727,0.08866506981797961,0.17395405059205826,0.22534913622197417,0.07363664093877409,0.16033358754484373,0.123473939767065,0.21774193548387089,0.037634716826336304,1.2355609078431116,41.05,5.09,0.9417989417989417,0.9708994708994709,102,0.9705882352941176,0.5050505050505051,0.6060606060606061,0.5555555555555556,0.030303030303030304,0.5959595959595959,0.494949494949495,0.02741935483870961,-0.0021583461548269067,0.5413603056165489,102,0.9705882352941176,0.5959595959595959,0.3838383838383838,0.47474747474747475,0.5454545454545454,10.0395,-28.8023,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,龙头领先过大,财务景气中性,宽度开始跟；盘面排名抬升,龙头独舞风险；短期热度高
801036.SI,塑料,2026-05-21,高位拥挤,持有但不追,65.63646134928393,92.99999999999999,59.2453288646837,48.41558441558442,56.31168831168831,87.40269243898277,3.669354838709678,0.05680151882322071,0.12661849491028976,0.309054755855944,0.041773089944015185,0.11299803186307522,0.20717955940103483,0.08064516129032251,0.009962827847888241,1.088049346521723,67.55,3.66,0.9828042328042328,0.9867724867724867,81,0.9506172839506173,0.4155844155844156,0.6103896103896104,0.5324675324675324,0.025974025974025976,0.5714285714285714,0.4935064935064935,0.020790020790020902,0.0013373884720161988,0.5087417192598562,81,0.9506172839506173,0.6623376623376623,0.45454545454545453,0.6103896103896104,0.5454545454545454,8.6223,-5.6088,20/60/120日趋势同向；短期热度偏高,龙头领先过大,利润同比改善扩散,宽度开始跟,龙头独舞风险；短期热度高
