ts_code,industry_name,trade_date,stage,action,radar_score,status_note,stage_5d_ago,stage_20d_ago,migration
801784.SI,城商行Ⅱ,2026-05-21,潜伏观察,观察验证,51.26517534612411,财务景气有支持,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801056.SI,能源金属,2026-05-21,潜伏观察,观察验证,51.08484399411819,财务景气有支持,高位拥挤,高位拥挤,高位拥挤 -> 潜伏观察
801741.SI,航天装备Ⅱ,2026-05-21,潜伏观察,观察验证,49.96223843659327,60日相对排名改善快,高位拥挤,潜伏观察,潜伏观察 -> 潜伏观察
801782.SI,国有大型银行Ⅱ,2026-05-21,潜伏观察,观察验证,49.007542242703536,60日相对排名改善快；财务景气有支持；短线弱于中期趋势,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801951.SI,煤炭开采,2026-05-21,潜伏观察,观察验证,47.68476702508961,短线弱于中期趋势,钝化转弱,钝化转弱,钝化转弱 -> 潜伏观察
801738.SI,电网设备,2026-05-21,钝化转弱,收紧风控,47.38451604940799,强势后质量转弱；短线弱于中期趋势,潜伏观察,潜伏观察,潜伏观察 -> 钝化转弱
801163.SI,燃气Ⅱ,2026-05-21,潜伏观察,观察验证,47.2282104454685,等待更多共振证据,钝化转弱,钝化转弱,钝化转弱 -> 潜伏观察
801745.SI,军工电子Ⅱ,2026-05-21,潜伏观察,观察验证,46.94631091056494,60日相对排名改善快,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801218.SI,专业服务,2026-05-21,潜伏观察,观察验证,46.7094689645164,财务景气有支持,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801126.SI,非白酒,2026-05-21,潜伏观察,观察验证,46.12380845707459,财务景气有支持,退潮回避,潜伏观察,潜伏观察 -> 潜伏观察
801153.SI,医疗器械,2026-05-21,潜伏观察,观察验证,46.12124133752505,60日相对排名改善快,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801726.SI,工程咨询服务Ⅱ,2026-05-21,潜伏观察,观察验证,46.07101110288512,60日相对排名改善快,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801128.SI,休闲食品,2026-05-21,潜伏观察,观察验证,45.96154424428619,财务景气有支持,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801206.SI,互联网电商,2026-05-21,潜伏观察,观察验证,45.34206605222734,60日相对排名改善快；成交关注度升温,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801156.SI,医疗服务,2026-05-21,潜伏观察,观察验证,44.6046081308178,60日相对排名改善快,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801129.SI,调味发酵品Ⅱ,2026-05-21,潜伏观察,观察验证,44.521356460146784,成交关注度升温；财务景气有支持,钝化转弱,潜伏观察,潜伏观察 -> 潜伏观察
801141.SI,包装印刷,2026-05-21,钝化转弱,收紧风控,43.487132807137954,财务景气有支持；强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 钝化转弱
