ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601288.SH,20260907,7.0,7.02,6.79,6.81,6.96,-0.15,-2.1552,3627602.1,2490748.812
601288.SH,20260904,6.87,7.01,6.86,6.96,6.89,0.07,1.016,2536205.42,1764990.281
601288.SH,20260903,7.02,7.1,6.88,6.89,7.06,-0.17,-2.4079,3544467.51,2477371.719
601288.SH,20260902,7.09,7.1,7.03,7.06,7.05,0.01,0.1418,2918766.55,2061995.149
601288.SH,20260901,6.9,7.06,6.88,7.05,6.92,0.13,1.8786,3836835.05,2688929.645
601288.SH,20260831,6.82,6.95,6.81,6.92,6.79,0.13,1.9146,3953726.0,2725430.832
601288.SH,20260828,6.78,6.81,6.73,6.79,6.79,0.0,0.0,2152268.51,1458561.562
601288.SH,20260827,6.84,6.86,6.73,6.79,6.86,-0.07,-1.0204,3890347.36,2638457.353
601288.SH,20260826,6.82,6.91,6.81,6.86,6.85,0.01,0.146,2737160.84,1879306.132
601288.SH,20260825,6.87,6.94,6.82,6.85,6.86,-0.01,-0.1458,3774904.48,2595171.804
601288.SH,20260824,6.73,6.89,6.7,6.86,6.78,0.08,1.1799,3790262.35,2593979.462
601288.SH,20260821,6.79,6.85,6.73,6.78,6.81,-0.03,-0.4405,3646617.86,2469445.603
601288.SH,20260820,6.68,6.82,6.63,6.81,6.77,0.04,0.5908,5112287.78,3454496.346
601288.SH,20260819,6.63,6.78,6.63,6.77,6.6,0.17,2.5758,5988149.28,4028517.33
601288.SH,20260818,6.45,6.61,6.44,6.6,6.46,0.14,2.1672,4646454.27,3041693.942
601288.SH,20260817,6.45,6.48,6.43,6.46,6.47,-0.01,-0.1546,2435407.59,1570422.441
601288.SH,20260814,6.51,6.55,6.46,6.47,6.56,-0.09,-1.372,3778274.31,2457449.292
601288.SH,20260813,6.39,6.56,6.39,6.56,6.44,0.12,1.8634,5152354.65,3351317.42
601288.SH,20260812,6.44,6.46,6.36,6.44,6.48,-0.04,-0.6173,4739186.18,3038247.214
601288.SH,20260811,6.46,6.51,6.42,6.48,6.46,0.02,0.3096,3869870.92,2500624.299
601288.SH,20260810,6.43,6.52,6.41,6.46,6.47,-0.01,-0.1546,3554488.77,2301707.544
601288.SH,20260807,6.46,6.51,6.41,6.47,6.5,-0.03,-0.4615,3967893.69,2560126.247
601288.SH,20260806,6.49,6.53,6.41,6.5,6.48,0.02,0.3086,5906837.19,3819354.471
601288.SH,20260805,6.59,6.62,6.44,6.48,6.61,-0.13,-1.9667,5608889.74,3635244.943
601288.SH,20260804,6.82,6.82,6.61,6.61,6.89,-0.28,-4.0639,6123312.66,4080178.805
601288.SH,20260803,6.82,6.93,6.75,6.89,6.9,-0.01,-0.1449,4484331.1,3068833.035
601288.SH,20260731,6.89,6.94,6.72,6.9,7.11,-0.21,-2.9536,7640337.19,5205900.672
601288.SH,20260730,6.91,7.11,6.9,7.11,6.93,0.18,2.5974,5518244.58,3878708.744
601288.SH,20260729,7.01,7.01,6.88,6.93,6.96,-0.03,-0.431,5194387.99,3611058.841
601288.SH,20260728,6.78,6.96,6.73,6.96,6.72,0.24,3.5714,5905094.07,4057371.018
601288.SH,20260727,6.67,6.79,6.66,6.72,6.66,0.06,0.9009,4204824.68,2831905.728
601288.SH,20260724,6.64,6.67,6.58,6.66,6.59,0.07,1.0622,3777081.92,2506649.691
601288.SH,20260723,6.52,6.6,6.48,6.59,6.52,0.07,1.0736,2753494.17,1804205.732
601288.SH,20260722,6.4,6.53,6.32,6.52,6.43,0.09,1.3997,4035486.39,2603602.466
601288.SH,20260721,6.65,6.66,6.4,6.43,6.61,-0.18,-2.7231,5331158.42,3475939.309
601288.SH,20260720,6.35,6.61,6.33,6.61,6.39,0.22,3.4429,6355743.68,4146881.274
601288.SH,20260717,6.29,6.42,6.28,6.39,6.3,0.09,1.4286,5375272.74,3423703.334
601288.SH,20260716,6.37,6.41,6.21,6.3,6.37,-0.07,-1.0989,3723318.25,2344843.996
601288.SH,20260715,6.29,6.39,6.27,6.37,6.37,0.0,0.0,3542496.03,2244558.957
601288.SH,20260714,6.34,6.41,6.26,6.37,6.37,0.0,0.0,4090694.49,2596583.982
601288.SH,20260713,6.22,6.38,6.2,6.37,6.23,0.14,2.2472,4880120.69,3086917.352
601288.SH,20260710,6.08,6.23,6.07,6.23,6.11,0.12,1.964,4092981.6,2524140.732
601288.SH,20260709,6.11,6.17,6.06,6.11,6.16,-0.05,-0.8117,3396601.75,2074004.818
601288.SH,20260708,6.03,6.18,5.97,6.16,6.05,0.11,1.8182,4415994.99,2707331.238
601288.SH,20260707,5.94,6.07,5.91,6.05,5.97,0.08,1.34,3816154.88,2290161.268
