ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
601619.SH,20171027,20170930,15.789,-13.9555,20.5415,5.7353
300126.SZ,20171028,20170930,-3.4672,-82.6092,1.3913,0.0957
002888.SZ,20171030,20170930,12.5232,-14.6683,14.0701,5.8841
603676.SH,20171027,20170930,26.2793,-17.1496,-7.7173,9.6302
600321.SH,20171031,20170930,68.1523,-97.7099,-14.6821,-0.4333
002031.SZ,20171031,20170930,106.0984,52.358,4.0378,0.4817
002181.SZ,20171027,20170930,-11.8905,78.4534,-59.6394,-0.6138
300116.SZ,20171028,20170930,172.8376,125.6102,-46.4602,8.802
300657.SZ,20171026,20170930,33.3428,-31.9734,17.6175,5.6536
300699.SZ,20171030,20170930,158.7858,237.2325,-10.0665,9.9771
600711.SH,20171019,20170930,39.9019,148.2578,2.9257,9.0488
688981.SH,20171114,20170930,-1.2695,-77.3334,54.5053,
002326.SZ,20171024,20170930,74.147,399.3101,7.5091,4.1372
002920.SZ,20171205,20170930,,,21.6999,32.2989
300545.SZ,20171025,20170930,163.1199,137.5694,65.4962,7.3781
000920.SZ,20171027,20170930,5.2342,-3.8606,26.9985,10.6482
600328.SH,20171027,20170930,37.1332,319.5264,7.3069,8.8628
600173.SH,20171027,20170930,105.7742,1066.6136,123.3351,6.8758
600323.SH,20171027,20170930,11.6246,35.5075,41.7501,9.9031
300551.SZ,20171027,20170930,18.7825,367.6012,-19.8845,-2.0009
603159.SH,20171031,20170930,28.7633,68.7097,2.7835,7.9278
000982.SZ,20171031,20170930,-34.0898,-151.8171,9.1759,-24.0348
002523.SZ,20171017,20170930,-5.1376,6.0463,28.6297,3.5991
002662.SZ,20171024,20170930,11.0573,-3.4057,11.5463,4.6913
000822.SZ,20171025,20170930,39.5343,370.9967,-10.6312,21.8778
300074.SZ,20171027,20170930,14.2414,137.3806,-9.3958,1.1094
000502.SZ,20171018,20170930,34.4888,-66.2337,-216.8019,-31.8077
603389.SH,20171030,20170930,-3.8852,-3.2675,-10.266,4.5183
300110.SZ,20171019,20170930,0.3296,33.7385,-3.2751,1.7596
000401.SZ,20171025,20170930,27.0677,-9.5553,25.1359,3.328
603997.SH,20171028,20170930,25.2725,24.943,38.7723,13.2968
300709.SZ,20171030,20170930,15.5279,-14.8852,-10.0483,27.0977
603637.SH,20171020,20170930,7.2731,-5.4331,54.906,4.1788
300052.SZ,20171030,20170930,-28.4181,2.5743,6.0298,1.6852
002146.SZ,20171027,20170930,12.9434,26.9042,-1.1721,9.3526
300640.SZ,20171030,20170930,27.9111,-7.8898,5.1195,13.9816
600777.SH,20171021,20170930,692.1903,322.4151,41.7156,0.9049
600444.SH,20171027,20170930,-1.7151,-10.0762,2.963,-2.073
300523.SZ,20171027,20170930,146.7345,197.7208,10.7507,-0.6197
600446.SH,20171026,20170930,16.1192,-84.4592,7.338,1.0969
300199.SZ,20171026,20170930,-13.1848,-37.9663,24.7785,6.1623
603259.SH,20180206,20170930,,,27.2173,14.6164
600556.SH,20171031,20170930,133.9906,132.6288,86.1454,-9.4172
002175.SZ,20171024,20170930,-1.3062,-939.3506,-6.7126,-1.6687
603186.SH,20171026,20170930,17.4022,-29.7158,-1.2661,11.3092
000037.SZ,20171024,20170930,37.1412,365.7423,-15.1734,-0.3086
002797.SZ,20171028,20170930,-20.9933,-43.3769,-383.1758,3.3679
600909.SH,20171031,20170930,0.69,-20.7612,-460.9343,5.0065
601878.SH,20171025,20170930,-2.8946,-38.1649,-410.0907,7.0193
600958.SH,20171028,20170930,29.6524,47.4831,-86.6192,5.8765
601108.SH,20171023,20170930,194.787,-20.0519,-373.5382,7.6095
601881.SH,20171031,20170930,-2.6617,-1.7631,-565.3304,5.5419
601399.SH,20171101,20170930,41.5168,10502.6774,-11.7149,5.488
600874.SH,20171027,20170930,1.504,19.1932,16.1431,8.1149
000728.SZ,20171028,20170930,-7.2379,-14.9755,-306.1926,4.2809
002049.SZ,20171024,20170930,44.7859,-28.9421,22.4246,5.3638
002535.SZ,20171030,20170930,17.3031,212.6681,-8.6968,0.7251
002981.SZ,20171227,20170930,,,,
000680.SZ,20171028,20170930,60.4935,107.8474,4.5893,1.4976
002533.SZ,20171027,20170930,30.0338,-24.6413,-16.9756,4.5095
000590.SZ,20171027,20170930,-4.6797,62.8123,-23.5866,2.8047
000338.SZ,20171031,20170930,89.4159,316.0482,3.1375,12.7976
002030.SZ,20171028,20170930,3.9243,-10.6275,3.1751,3.4487
000524.SZ,20171031,20170930,11.5669,66.4985,11.5744,7.9341
600600.SH,20171031,20170930,0.386,-6.485,9.7328,9.9252
600956.SH,20171026,20170930,95.7264,92.5189,19.2001,
000760.SZ,20171031,20170930,77.6095,-107.2157,-198.7566,-9.049
601916.SH,20171027,20170930,-5.335,0.9846,-376.4783,
002680.SZ,20171026,20170930,41.4073,25.3554,12.5343,10.7997
000750.SZ,20171027,20170930,-33.3516,-53.2923,-207.8133,3.8433
002673.SZ,20171030,20170930,-7.6965,-21.3311,-196.5251,4.7246
002500.SZ,20171024,20170930,97.9148,-0.6202,-132.8656,3.062
000783.SZ,20171027,20170930,1.3886,-21.9765,80.9915,5.6544
600816.SH,20171013,20170930,26.4635,32.1946,-24.0416,18.531
002736.SZ,20171027,20170930,-6.1537,-10.7199,-139.4785,6.984
601628.SH,20171027,20170930,26.2938,365.4644,25.2325,8.5891
600291.SH,20171031,20170930,-0.9267,301.8886,-304.3349,1.2242
000583.SZ,20171031,20170930,,-6.7157,,
600813.SH,20171101,20170930,,-449.9836,,-6.4581
000157.SZ,20171031,20170930,-0.567,340.3712,7.9148,-21.2215
002712.SZ,20171027,20170930,44.8083,30.916,2.867,8.7647
000048.SZ,20171031,20170930,2.84,-195.658,19.6594,-5.8318
600960.SH,20171031,20170930,50.4514,-14.9139,0.9771,3.7897
000425.SZ,20171031,20170930,79.7681,493.3009,7.8119,3.0428
600369.SH,20171031,20170930,-9.4103,14.0815,-76.0854,3.2826
002180.SZ,20171031,20170930,554.5341,1964.2426,-1.4639,-68.7607
000885.SZ,20171031,20170930,5.997,57.3964,124.2002,16.5717
600149.SH,20171031,20170930,770955.9797,105.1654,-124.8363,-4.0459
000627.SZ,20171031,20170930,182.328,1593.3486,-30.7421,6.032
000040.SZ,20171031,20170930,79.2122,238.8852,-2.1763,2.7368
600352.SH,20171028,20170930,31.322,87.5364,-10.5943,9.1357
002501.SZ,20171030,20170930,24.1144,-0.8063,-0.1903,7.1208
002323.SZ,20171030,20170930,-21.2826,-35.9587,5.6658,21.568
000156.SZ,20171031,20170930,-3.9467,0.959,44.7859,4.2426
600165.SH,20171031,20170930,-36.5022,140.2759,90.7942,-4.2882
002340.SZ,20171026,20170930,57.485,334.0872,3.3199,5.2377
002024.SZ,20171031,20170930,36.9527,308.4112,-7.8214,-0.2538
000625.SZ,20171026,20170930,0.3973,-47.0703,-23.5624,10.3182
600760.SH,20171031,20170930,-21.917,-150.1886,-4.538,-10.087
300846.SZ,20171101,20170930,15.4078,7.2395,12.504,8.3219
600343.SH,20171028,20170930,28.0618,-155.5202,-1.7362,0.3023
601318.SH,20171028,20170930,17.5734,45.506,10.9395,15.9449
600611.SH,20171031,20170930,-11.6968,69.069,18.4284,2.4869
600218.SH,20171031,20170930,3.4018,-30.0669,12.1827,1.7229
600139.SH,20171031,20170930,-66.2102,46.7239,192.2325,-9.9567
600056.SH,20171028,20170930,7.4457,34.9639,-1.3549,13.2143
600053.SH,20171030,20170930,-65.0492,-95.7119,-57.9365,7.9189
600180.SH,20171028,20170930,55.2417,-62.1731,-7.9233,3.8109
600620.SH,20171028,20170930,2.2783,256.8645,-27.8697,2.0173
002143.SZ,20171030,20170930,-36.4684,10.9973,-3.4968,15.3953
600727.SH,20171031,20170930,18.504,235.7716,-4.1003,4.5675
600691.SH,20171027,20170930,25.9937,106.6088,-1.2549,0.1814
003003.SZ,20171226,20170930,,,2.7375,8.8759
601995.SH,20171120,20170930,64.9362,54.7221,-491.1496,7.0079
300311.SZ,20171027,20170930,42.0648,80.026,23.0823,7.7758
002369.SZ,20171025,20170930,-17.9571,9485.3309,-12.4637,-0.2767
000047.SZ,20171031,20170930,,30.2586,,
002069.SZ,20171027,20170930,-3.0472,86.5267,16.0308,5.0107
000972.SZ,20171027,20170930,38.4406,456.3567,-66.2854,-16.5135
300156.SZ,20171025,20170930,-55.4478,-69.5817,126.1084,17.16
002315.SZ,20171021,20170930,99.8535,13.266,-42.7578,1.9171
002105.SZ,20171020,20170930,28.1481,220.6875,9.8158,7.6103
300707.SZ,20171030,20170930,73.2345,161.365,18.8549,16.8163
300726.SZ,20171120,20170930,,,2.5605,16.3883
002786.SZ,20171024,20170930,4.2211,-19.9023,-1.3706,2.9396
600977.SH,20171030,20170930,24.6583,25.5763,97.869,6.5802
002344.SZ,20171021,20170930,-22.3952,-54.1214,54.0563,3.0434
300350.SZ,20171028,20170930,100.1518,-11.0456,5.7965,4.5746
002716.SZ,20171026,20170930,64.1702,30.8089,9.5539,6.8172
600158.SH,20171031,20170930,10.0826,93.9581,14.5607,2.3704
300037.SZ,20171024,20170930,12.0454,18.577,11.3612,8.5651
603806.SH,20171024,20170930,13.0217,-29.47,-3.7613,6.9167
000981.SZ,20171031,20170930,-36.0414,-19.4443,30.4892,6.7123
600146.SH,20171031,20170930,28835.9722,460.1483,-12.5298,1.6568
603686.SH,20171031,20170930,45.8053,27.7479,-9.2878,14.6446
300016.SZ,20171024,20170930,1.1501,28.9144,21.0748,10.6097
002277.SZ,20171027,20170930,12.5751,29.7673,12.7868,6.0422
000951.SZ,20171027,20170930,112.4663,252.9432,-2.4237,13.253
002012.SZ,20171027,20170930,7.9605,117.6921,-2.1519,0.5066
002635.SZ,20171027,20170930,48.8879,40.9693,28.1978,6.9949
002518.SZ,20171023,20170930,52.8201,37.1621,9.384,11.6018
600805.SH,20171027,20170930,3.6044,-3701.0119,-25.597,-5.2659
300609.SZ,20171023,20170930,21.0996,46.0844,27.0621,9.1244
600408.SH,20171027,20170930,117.9451,186.8089,-9.6255,-3.2766
002632.SZ,20171025,20170930,84.1876,54.3496,7.186,3.4861
002479.SZ,20171023,20170930,38.6345,-13.987,43.5398,8.5327
300507.SZ,20171025,20170930,-0.3598,-7.7199,29.8917,8.0913
002681.SZ,20171025,20170930,39.0529,26.1278,8.3437,6.1619
002747.SZ,20171025,20170930,23.2616,6.0965,9.9848,3.1018
002245.SZ,20171025,20170930,94.6774,67.1887,-3.776,11.0423
603518.SH,20171027,20170930,263.8263,-68.4445,18.7177,3.9797
002732.SZ,20171027,20170930,9.1993,11.6031,10.0463,11.0647
600558.SH,20171027,20170930,17.6126,8.1755,-6.1387,1.5132
000488.SZ,20171026,20170930,37.1166,57.0736,30.5601,10.4511
300086.SZ,20171026,20170930,8.4111,6.6097,-4.1578,0.9491
600276.SH,20171019,20170930,24.6758,22.8019,24.3254,17.3458
600583.SH,20171027,20170930,-9.4545,-58.7044,34.6109,0.3875
601678.SH,20171023,20170930,17.5715,116.1771,30.8999,10.6358
002135.SZ,20171028,20170930,121.636,235.3019,7.8701,2.2621
300146.SZ,20171027,20170930,27.1084,5.7412,20.9343,14.1355
600064.SH,20171028,20170930,-36.6507,-79.6174,36.6599,5.1546
600192.SH,20171027,20170930,5.982,-86.2291,-1.9567,-0.0543
300385.SZ,20171028,20170930,62.8471,6.494,27.1694,5.4615
600976.SH,20171028,20170930,12.4342,70.8525,2.2685,5.8108
600418.SH,20171027,20170930,-12.875,-152.4738,-11.6364,-0.351
600664.SH,20171027,20170930,-5.7737,-136.0399,-5.652,2.6451
600830.SH,20171028,20170930,-77.0627,-14.9,-4.6158,1.1996
601633.SH,20171027,20170930,1.1747,-79.8629,-5.6511,5.1732
600463.SH,20171025,20170930,49.9568,-195.6139,312.1753,4.0778
002617.SZ,20171025,20170930,154.1899,623.3818,-45.8987,9.5578
