ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
600669.SH,20181030,20180930,,,,
000022.SZ,20181031,20180930,-21.3903,-16.5521,40.6956,9.4701
000043.SZ,20181031,20180930,-10.9662,924.6906,75.5506,2.2874
600087.SH,20181031,20180930,-13.2309,-86.897,20.5888,5.5574
300403.SZ,20181026,20180930,11.2169,67.6696,16.5918,7.8893
603577.SH,20181025,20180930,12.9829,-84.107,-86.2524,2.4772
002928.SZ,20181030,20180930,16.1674,-52.0752,28.3216,8.5039
000769.SZ,20181101,20180930,,-97522.7431,,
601268.SH,20181101,20180930,-4.2823,23.4648,64.2112,11.0585
688098.SH,20191025,20180930,,,,14.0414
000003.SZ,20191030,20180930,,,-84.2033,
601698.SH,20191030,20180930,,,88.0851,
600968.SH,20191029,20180930,,,-0.0765,
300762.SZ,20191026,20180930,,,-8.8546,
603115.SH,20191029,20180930,,,12.9077,
688030.SH,20191029,20180930,,,,
688009.SH,20191030,20180930,,,-4.2388,
603379.SH,20191025,20180930,,,30.7804,
688116.SH,20191030,20180930,,,,
603217.SH,20191028,20180930,,,14.8868,
300790.SZ,20191028,20180930,,,-3.3428,
603755.SH,20191029,20180930,,,,
002956.SZ,20191028,20180930,,,32.5382,
688019.SH,20191030,20180930,,,40.273,
688028.SH,20191029,20180930,,,,
603915.SH,20191029,20180930,,,23.0831,
688016.SH,20191028,20180930,,,35.9997,
300788.SZ,20191028,20180930,,,-0.832,
300770.SZ,20191026,20180930,,,45.8007,
603967.SH,20191029,20180930,,,-7.1889,
603983.SH,20191030,20180930,,,33.2428,
300791.SZ,20191029,20180930,,,13.1986,
300783.SZ,20191030,20180930,,,-2.9572,
300594.SZ,20191028,20180930,,,-51.6702,
603256.SH,20191030,20180930,,,24.7162,
002959.SZ,20191030,20180930,,,11.7782,
603327.SH,20191025,20180930,,,-1.023,
603982.SH,20191030,20180930,,,3.3274,
300769.SZ,20191030,20180930,,,29.5258,
002955.SZ,20191029,20180930,,,5.1948,
300763.SZ,20191025,20180930,,,-21.9878,
688168.SH,20191030,20180930,,,-9.9011,
002962.SZ,20191029,20180930,,,8.7147,
300795.SZ,20191030,20180930,,,-2.5186,
688088.SH,20191029,20180930,,,83.64,
603697.SH,20191029,20180930,,,16.5386,
603317.SH,20191029,20180930,,,33.0615,
