ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
603880.SH,20200715,20200630,412.2914,435.5362,23.506,13.6125
002107.SZ,20200716,20200630,15.3143,162.7268,7.7289,12.9683
000416.SZ,20200718,20200630,-40.0309,-22.2891,2480.9666,0.9679
603559.SH,20200718,20200630,-22.8605,-118.217,-30.2954,-2.2005
601168.SH,20200718,20200630,2.738,-20.2025,16.0048,3.2127
603199.SH,20200718,20200630,-64.5424,-110.4363,1.7664,-3.1165
688488.SH,20200717,20200630,2.0798,116.0573,31.1694,3.4517
002714.SZ,20200718,20200630,215.2647,1626.9017,52.1168,38.3163
002895.SZ,20200718,20200630,-2.3338,11.6577,23.1351,4.0405
688002.SH,20200720,20200630,201.2271,438.8493,14.4647,11.7365
002560.SZ,20200720,20200630,59.0346,68.9482,9.5346,3.3699
688561.SH,20200721,20200630,29.6065,30.1866,-66.472,-15.2571
002299.SZ,20200722,20200630,1.2863,-36.8601,29.4854,12.8427
603638.SH,20200722,20200630,88.0467,124.89,23.1236,13.899
002887.SZ,20200722,20200630,23.8255,35.3988,7.6971,6.5067
300443.SZ,20200722,20200630,29.3912,152.8134,56.9307,8.5263
688077.SH,20200721,20200630,31.3259,23.5346,2.4092,4.5503
688589.SH,20200721,20200630,6.2042,3.351,30.9317,4.198
600753.SH,20200724,20200630,157.6997,0.4443,6.4856,3.2899
002519.SZ,20200724,20200630,-0.3881,-1.8389,12.0442,2.6902
600375.SH,20200725,20200630,25.2371,-40.6448,-17.4177,-3.9639
000420.SZ,20200725,20200630,-34.6008,-286.7267,-25.9907,-2.8178
002681.SZ,20200725,20200630,11.7314,2646.5061,2.043,2.4994
300690.SZ,20200725,20200630,71.5146,126.2183,15.9729,11.5201
603988.SH,20200725,20200630,116.1702,451.9818,24.8622,6.5328
600470.SH,20200725,20200630,0.2918,-30.1501,-16.7882,4.3661
002813.SZ,20200724,20200630,26.5497,22.6882,44.3162,-14.8581
300041.SZ,20200724,20200630,15.1783,37.6464,5.1782,7.3468
300575.SZ,20200725,20200630,62.5027,215.3084,20.6582,8.6511
002772.SZ,20200725,20200630,32.3765,-4.1902,13.885,1.4076
000990.SZ,20200725,20200630,42.0283,-160.549,3.1997,-1.2478
002227.SZ,20200725,20200630,0.6723,-121.7863,19.7731,-2.7455
002885.SZ,20200725,20200630,1.4596,-8.9912,0.037,3.1145
300121.SZ,20200725,20200630,-20.2527,-43.4192,6.6211,1.5693
688516.SH,20200727,20200630,1.1108,-17.4463,31.9916,4.7875
002567.SZ,20200727,20200630,9.606,452.5836,3.8472,11.7055
603776.SH,20200727,20200630,-2.6604,13.247,64.3047,2.452
603606.SH,20200728,20200630,63.9954,117.8182,58.0862,14.1353
002311.SZ,20200728,20200630,26.2911,45.1365,3.5715,11.341
002028.SZ,20200728,20200630,31.623,116.7069,11.9233,8.1183
688321.SH,20200728,20200630,37.7776,46.7084,38.3688,1.0654
002549.SZ,20200728,20200630,-8.1032,-25.4746,27.4254,2.162
002496.SZ,20200728,20200630,74.7335,132.3468,19.5575,-2.3156
603586.SH,20200728,20200630,-16.9683,-0.1179,25.073,3.4815
600186.SH,20200728,20200630,6.7793,-89.0782,-18.0474,8.4911
603601.SH,20200728,20200630,63.5354,213.1879,8.5518,13.5264
002702.SZ,20200728,20200630,48.0695,443.1846,12.7649,5.0802
002746.SZ,20200728,20200630,3.7044,-52.8076,21.13,7.1523
600519.SH,20200729,20200630,9.5474,8.9155,52.7837,16.5957
002767.SZ,20200729,20200630,30.2621,68.3812,-5.8259,0.6234
300193.SZ,20200729,20200630,-0.2922,-14.437,30.0609,3.4752
603118.SH,20200729,20200630,9.5348,50.6102,-6.7677,3.2398
300862.SZ,20200728,20200630,,,7.9075,3.7851
600663.SH,20200729,20200630,-42.942,-21.9405,14.413,9.0752
603929.SH,20200729,20200630,-65.105,-47.4735,-1.2356,-0.5652
603278.SH,20200729,20200630,-1.0134,-40.7327,4.4256,1.1661
002182.SZ,20200729,20200630,11.0338,-74.4008,10.4578,3.3233
002296.SZ,20200729,20200630,13.9553,9.352,-14.0767,2.7977
000765.SZ,20200729,20200630,26.0867,64.1303,16.1273,2.6825
688396.SH,20200729,20200630,15.6143,101.4196,14.3091,4.4608
605118.SH,20200729,20200630,4.9112,-16.0774,30.742,11.3813
300222.SZ,20200730,20200630,-0.8026,178.5543,6.3236,0.4884
600456.SH,20200730,20200630,24.7082,24.3603,10.1639,3.4881
688158.SH,20200730,20200630,35.7211,-1546.5965,22.8977,-3.2472
603936.SH,20200730,20200630,38.1479,27.2566,-2.7298,4.3883
300461.SZ,20200730,20200630,125.2506,111.7979,78.9577,81.567
600892.SH,20200730,20200630,211.4209,733.3082,3.0202,12.1881
600594.SH,20200730,20200630,0.1568,42.3289,5.725,3.2908
603668.SH,20200730,20200630,84.2812,4.9642,5.7393,4.6474
000026.SZ,20200730,20200630,11.4202,53.3975,21.1775,2.5998
688586.SH,20200730,20200630,16.834,80.9774,-13.0466,10.1591
688311.SH,20200730,20200630,32.4415,41.771,-17.3339,6.144
600885.SH,20200731,20200630,12.3494,8.8027,17.114,7.0247
603500.SH,20200731,20200630,-46.7511,-59.6828,32.5196,1.3212
603318.SH,20200731,20200630,85.5976,206.3099,-25.7059,0.9926
002796.SZ,20200731,20200630,11.3603,-21.0011,-2.5672,1.9456
603309.SH,20200731,20200630,50.556,71.7924,19.7045,9.4473
603283.SH,20200731,20200630,82.4418,249.872,-25.7797,7.8091
600988.SH,20200731,20200630,14.488,186.8732,17.4862,6.3865
002982.SZ,20200731,20200630,14.0162,-3.3492,14.4107,11.1018
600248.SH,20200731,20200630,15.9697,-34.446,8.6181,1.637
603507.SH,20200731,20200630,50.2372,219.2376,50.4833,2.0242
300371.SZ,20200731,20200630,72.6308,55.9103,7.9499,5.1295
300721.SZ,20200731,20200630,5.7133,-192.1502,12.0486,-1.0965
002014.SZ,20200731,20200630,22.303,36.9355,24.8444,6.4601
002541.SZ,20200731,20200630,37.3287,45.0639,4.0586,3.0449
300037.SZ,20200731,20200630,23.6257,93.0698,37.9971,5.5979
300627.SZ,20200731,20200630,21.2043,25.3302,21.53,3.5944
300807.SZ,20200731,20200630,-65.6003,-63.5519,-26.7725,-1.7775
300196.SZ,20200731,20200630,-9.7898,-25.2542,20.9247,4.3009
002324.SZ,20200731,20200630,73.8568,556.4201,20.8329,10.2172
600299.SH,20200731,20200630,15.5851,78.4942,29.5599,5.2411
600742.SH,20200801,20200630,53.1196,90.4938,7.1226,3.753
300868.SZ,20200731,20200630,3.3181,-0.8644,-5.6533,10.4028
300867.SZ,20200731,20200630,,,34.9579,9.3656
002739.SZ,20200804,20200630,-78.6805,-881.697,7.0743,-13.078
300354.SZ,20200804,20200630,17.7905,0.176,-6.3141,0.3804
300122.SZ,20200804,20200630,58.7942,53.2298,20.3108,23.277
002902.SZ,20200804,20200630,43.4172,296.4408,-10.9116,-0.7295
300231.SZ,20200804,20200630,68.8354,28.4588,3.9627,6.7487
600763.SH,20200804,20200630,20.3872,44.6305,38.7433,7.3433
300062.SZ,20200804,20200630,11.9706,134.2472,27.4016,-2.4113
300870.SZ,20200803,20200630,,,7.9789,15.257
300864.SZ,20200803,20200630,,,19.6356,27.0786
603183.SH,20200805,20200630,10.4254,28.0343,-9.2415,2.611
002971.SZ,20200805,20200630,52.813,15.4364,2.2615,4.0204
002234.SZ,20200805,20200630,-44.6741,-82.2439,12.5779,8.4659
600255.SH,20200805,20200630,-20.8453,257.7327,-15.8856,-1.6262
000589.SZ,20200806,20200630,16.4533,184.6595,23.3145,5.4269
300229.SZ,20200806,20200630,-4.0886,69.9249,37.8371,1.7972
002258.SZ,20200806,20200630,32.2191,97.1104,20.0583,6.9092
300414.SZ,20200806,20200630,33.8906,-0.5886,-22.9205,1.2215
688356.SH,20200805,20200630,28.1664,27.5822,94.8718,10.8278
000929.SZ,20200806,20200630,-22.896,467.7791,33.6677,-0.8467
002786.SZ,20200806,20200630,51.9475,417.5684,4.8748,-3.4768
300034.SZ,20200806,20200630,12.7462,10.7181,15.3427,4.498
600057.SH,20200806,20200630,36.932,33.3129,9.816,3.3456
002033.SZ,20200806,20200630,-71.9647,-104.2412,-104.4239,-1.0258
600435.SH,20200806,20200630,27.1084,-126.1565,-3.2882,-0.8597
605255.SH,20200805,20200630,,,11.8011,4.045
300877.SZ,20200805,20200630,,,50.9788,23.646
300036.SZ,20200807,20200630,-28.7565,-1.0695,-34.0124,1.6094
300611.SZ,20200807,20200630,20.4322,186.1316,14.493,2.0465
300493.SZ,20200807,20200630,-14.0425,-12.1335,7.4541,2.1076
002675.SZ,20200807,20200630,17.6615,27.9104,-10.4881,5.0045
603359.SH,20200807,20200630,32.9952,42.4618,-17.5697,8.1317
603713.SH,20200807,20200630,40.172,68.3216,14.3801,9.1506
603220.SH,20200807,20200630,14.514,-21.2801,4.2856,-0.1325
603806.SH,20200807,20200630,36.8941,65.4332,19.6251,6.4059
300809.SZ,20200807,20200630,-60.425,-94.8974,13.1048,-0.5036
002511.SZ,20200807,20200630,19.2062,77.7402,8.9452,10.3734
600273.SH,20200807,20200630,0.6715,0.0152,42.6193,7.7507
002194.SZ,20200807,20200630,-2.5945,15.9523,-10.2413,4.3955
