ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
300692.SZ,20220402,20220331,33.7924,41.4189,21.8865,2.1608
300692.SZ,20220402,20220331,33.7924,41.4189,21.8865,2.1608
600731.SH,20220407,20220331,20.2688,8.4037,-1.8929,3.5351
600731.SH,20220407,20220331,20.2688,8.4037,-1.8929,3.5351
600313.SH,20220408,20220331,4.1643,4517.6025,11.4467,1.0912
300708.SZ,20220412,20220331,7.1458,60.6601,1.5734,-0.3214
002664.SZ,20220412,20220331,9.829,-42.8442,-15.9748,0.9901
000838.SZ,20220412,20220331,162.323,160.0944,-13.3043,1.4249
601899.SH,20220412,20220331,36.3532,143.8807,11.4679,8.0808
688663.SH,20220412,20220331,14.6246,-13.1645,-35.2279,1.4264
300337.SZ,20220412,20220331,20.2609,279.7642,-0.6478,2.1698
000921.SZ,20220412,20220331,31.3525,22.1022,-1.1068,1.7779
600557.SH,20220412,20220331,25.1618,30.9387,7.3371,2.446
603659.SH,20220412,20220331,80.0025,90.2801,-4.4115,5.669
605358.SH,20220412,20220331,63.8646,214.022,-5.5209,3.0999
002772.SZ,20220412,20220331,23.3515,-67.3854,26.2909,1.7575
600586.SH,20220412,20220331,21.1981,-59.1573,20.5811,2.574
601636.SH,20220412,20220331,4.8137,-40.6885,-1.158,3.5356
300708.SZ,20220412,20220331,7.1458,60.6601,1.5734,-0.3214
600557.SH,20220412,20220331,25.1618,30.9387,7.3371,2.446
002311.SZ,20220412,20220331,26.9844,-71.623,-5.2454,1.2602
300048.SZ,20220412,20220331,13.4088,4.8667,14.4605,0.6224
300504.SZ,20220412,20220331,41.3409,42.579,-39.8379,3.2448
605090.SH,20220413,20220331,126.1831,40.6618,10.8029,6.5683
002916.SZ,20220413,20220331,21.6838,42.8276,18.3997,3.2508
300791.SZ,20220413,20220331,-17.0052,-74.4796,33.053,0.1687
002990.SZ,20220414,20220331,46.1075,49.0916,-31.9536,2.0824
002697.SZ,20220414,20220331,7.9886,-1.5807,5.6114,3.113
300590.SZ,20220414,20220331,37.4901,-23.4266,-98.2206,1.1358
300352.SZ,20220414,20220331,52.6932,109.9227,31.7752,-0.0022
300529.SZ,20220414,20220331,20.4619,18.32,18.3647,9.1481
688125.SH,20220414,20220331,15.3445,5.3476,19.8042,3.2431
300803.SZ,20220415,20220331,89.5078,176.4998,88.2347,18.6365
688219.SH,20220415,20220331,22.4363,11.1809,-3.4707,1.3674
301215.SZ,20220415,20220331,5.212,4.5479,23.1227,0.7593
600096.SH,20220415,20220331,13.2808,186.152,10.1978,14.3794
002868.SZ,20220415,20220331,-31.0603,-471.1247,7.9784,-0.6943
688768.SH,20220415,20220331,50.2438,4.4109,-66.4235,-2.9881
300020.SZ,20220415,20220331,0.245,-13.36,-12.1512,1.4235
002167.SZ,20220415,20220331,43.993,3775.9142,31.9484,4.3059
688125.SH,20220414,20220331,15.3445,5.3476,19.8042,3.2431
688699.SH,20220415,20220331,28.4114,8.7958,-35.8942,3.8166
300238.SZ,20220415,20220331,-4.2926,19.3591,20.0852,2.5373
600256.SH,20220415,20220331,70.0982,175.6734,21.0965,9.9441
002273.SZ,20220415,20220331,9.2478,18.6602,11.4301,0.9986
001216.SZ,20220415,20220331,49.9914,50.2612,9.8274,2.2652
600660.SH,20220415,20220331,14.7528,1.8623,20.4835,3.2009
002458.SZ,20220415,20220331,-44.9215,-357.2126,-64.4209,-9.5274
605056.SH,20220415,20220331,5.7286,0.5432,18.7021,1.1241
688668.SH,20220415,20220331,70.6356,46.09,17.699,3.7985
300653.SZ,20220415,20220331,15.2794,25.0663,54.8941,6.7231
000546.SZ,20220415,20220331,-35.5136,24.7115,-0.7244,-0.9095
000915.SZ,20220415,20220331,23.7449,43.1829,45.6303,6.7038
002903.SZ,20220415,20220331,10.8281,3.7634,96.7629,3.0058
600415.SH,20220415,20220331,106.6834,78.1274,-41.1994,4.4001
688768.SH,20220415,20220331,50.2438,4.4109,-66.4235,-2.9881
688699.SH,20220415,20220331,28.4114,8.7958,-35.8942,3.8166
605056.SH,20220415,20220331,5.7286,0.5432,18.7021,1.1241
002977.SZ,20220415,20220331,62.2492,16.0605,-30.5242,1.7555
600312.SH,20220415,20220331,56.602,206.7237,-8.1487,0.4281
603129.SH,20220415,20220331,44.933,10.2206,-3.4222,2.3308
688519.SH,20220415,20220331,14.3122,-7.9658,-6.1418,1.5765
300769.SZ,20220415,20220331,561.8752,1402.7743,-51.1934,21.3876
002264.SZ,20220415,20220331,-17.3155,-45.5837,9.4384,4.8147
000710.SZ,20220415,20220331,-6.4149,-156.1535,-16.0925,-0.5
002196.SZ,20220415,20220331,37.9645,-12.287,13.0128,0.038
601179.SH,20220415,20220331,23.6147,47.5871,16.5645,0.5199
002709.SZ,20220415,20220331,229.7126,422.1874,11.0181,18.8941
002383.SZ,20220415,20220331,22.8137,119.5662,-5.1757,-0.1648
002296.SZ,20220415,20220331,-3.1296,-31.8494,24.2831,0.5887
000929.SZ,20220415,20220331,-28.4543,-139.4578,30.4815,-0.6067
002880.SZ,20220415,20220331,-0.6233,-6.1255,-3.9033,1.3428
605068.SH,20220416,20220331,-33.5957,-76.3366,48.0743,0.4918
003022.SZ,20220416,20220331,-13.7257,-60.1389,12.5852,0.6776
300004.SZ,20220416,20220331,-54.2603,253.9588,-69.514,-0.3055
600976.SH,20220416,20220331,9.0998,25.9465,-13.1638,4.9677
002877.SZ,20220416,20220331,5.8387,14.5027,-41.1849,1.202
600523.SH,20220416,20220331,1.2333,3.395,2.8895,1.0883
002165.SZ,20220416,20220331,-14.4802,-213.4575,4.59,-1.6795
