ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
001311.SZ,20230425,20221231,,,5.7439,26.998
001225.SZ,20230404,20221231,,,27.2997,20.6298
603073.SH,20230427,20221231,,,27.9469,14.9954
001311.SZ,20230425,20221231,,,5.7439,26.998
001225.SZ,20230404,20221231,,,27.2997,20.6298
603073.SH,20230427,20221231,,,27.9469,14.9954
831906.BJ,20230425,20221231,7.6519,75.5553,9.5609,13.5878
430478.BJ,20230415,20221231,-5.3844,213.6819,15.548,18.021
603065.SH,20230420,20221231,,,19.8419,16.2784
301059.SZ,20230209,20221231,40.5468,73.1136,23.397,11.0119
688522.SH,20230329,20221231,-11.973,-15.4056,22.6264,17.3931
000815.SZ,20230210,20221231,-11.6803,-477.4032,23.8514,-12.356
301408.SZ,20230411,20221231,40.2203,295.0296,-1.5052,17.4491
001278.SZ,20230426,20221231,,,11.5731,15.1475
000815.SZ,20230210,20221231,-11.6803,-477.4032,23.8514,-12.356
001278.SZ,20230426,20221231,,,11.5731,15.1475
834770.BJ,20230331,20221231,18.1384,-31.7082,21.9301,15.1791
001366.SZ,20230412,20221231,,,7.2895,13.3937
001337.SZ,20230325,20221231,-18.1402,2.27,45.021,18.7183
836422.BJ,20230328,20221231,-11.9262,-26.0303,18.5895,29.6944
301322.SZ,20230426,20221231,,,17.1881,57.2973
301322.SZ,20230426,20221231,,,17.1881,57.2973
688502.SH,20230216,20221231,,,16.6502,15.6375
603291.SH,20230216,20221231,,,28.5732,8.5443
603061.SH,20230426,20221231,,,40.0933,30.3302
301157.SZ,20230425,20221231,-6.5309,-13.4348,13.1604,20.3176
601121.SH,20230418,20221231,,,-4.8474,9.8505
600925.SH,20230217,20221231,21.4346,-58.4037,13.1583,28.3515
603162.SH,20230217,20221231,,,48.6612,39.6616
601121.SH,20230418,20221231,,,-4.8474,9.8505
600925.SH,20230217,20221231,21.4346,-58.4037,13.1583,28.3515
603162.SH,20230217,20221231,,,48.6612,39.6616
002072.SZ,20230218,20221231,-11.5195,-120.1786,-13.6696,-18.4459
301076.SZ,20230218,20221231,14.4977,122.6712,45.8365,8.7977
001368.SZ,20230428,20221231,,,14.4197,19.4617
600557.SH,20230221,20221231,15.0633,35.0139,31.2909,8.72
002984.SZ,20230221,20221231,17.4999,-23.0709,29.999,12.4486
300721.SZ,20230221,20221231,-2.2607,-133.5138,10.0882,9.4145
603077.SH,20230221,20221231,-10.9957,-62.462,28.995,22.4883
603856.SH,20230221,20221231,35.1204,80.6168,31.7888,6.2286
830974.BJ,20230427,20221231,-33.8741,52.8392,4.9935,11.1817
300721.SZ,20230221,20221231,-2.2607,-133.5138,10.0882,9.4145
002984.SZ,20230221,20221231,17.4999,-23.0709,29.999,12.4486
603153.SH,20230221,20221231,,,41.1612,8.2508
603856.SH,20230221,20221231,35.1204,80.6168,31.7888,6.2286
872541.BJ,20230427,20221231,1.7948,13.481,13.8993,12.4612
603282.SH,20230222,20221231,,,3.496,33.2552
000798.SZ,20230224,20221231,-15.0276,29.9253,-54.5959,-4.3019
688082.SH,20230225,20221231,67.8474,93.6979,7.9291,13.3455
837663.BJ,20230418,20221231,30.4713,40.6135,1.6677,28.11
000972.SZ,20230225,20221231,160.4046,197.4579,25.49,29.272
301246.SZ,20230428,20221231,,,10.8555,21.4403
301345.SZ,20230425,20221231,,,5.5546,24.1658
835857.BJ,20230419,20221231,-29.832,-25.1243,11.399,7.8639
301246.SZ,20230428,20221231,,,10.8555,21.4403
301345.SZ,20230425,20221231,,,5.5546,24.1658
300708.SZ,20230228,20221231,-8.0603,-312.7805,-24.8763,-11.2337
002315.SZ,20230228,20221231,-6.2623,17.7146,95.2991,12.8469
000055.SZ,20230228,20221231,10.1207,52.5001,34.9839,4.8069
001207.SZ,20230228,20221231,28.3382,-13.1821,9.2633,6.9988
002315.SZ,20230228,20221231,-6.2623,17.7146,95.2991,12.8469
603200.SH,20230228,20221231,-22.3416,-236.4437,71.0487,4.7482
601901.SH,20230228,20221231,-13.4569,295.7015,-37.7761,5.0377
002616.SZ,20230228,20221231,3.0885,151.6605,12.1374,2.5473
000975.SZ,20230228,20221231,-38.8703,-17.4201,6.6416,9.627
300818.SZ,20230228,20221231,-56.3902,-116.7105,24.2293,3.7079
