ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
874289.BJ,20250418,20241231,,,,19.3199
873044.BJ,20250125,20241231,,,,15.8665
300803.SZ,20250125,20241231,59.1165,89.2519,224.501,4.6871
834549.BJ,20250401,20241231,-38.2707,-25.9473,-15.3552,18.1274
300708.SZ,20250125,20241231,12.9751,-18.2694,2.9052,6.6333
874047.BJ,20250227,20241231,,,,22.1824
873827.BJ,20250326,20241231,11.4489,154.0648,15.8326,9.4633
874105.BJ,20250226,20241231,28.791,-10.7858,13.2302,10.5573
874085.BJ,20250211,20241231,-20.3264,-31.1056,3.0855,27.1978
301173.SZ,20250212,20241231,,,,21.9184
688981.SH,20250212,20241231,,-13.5,,
603409.SH,20250418,20241231,,,17.6313,23.7198
301557.SZ,20250422,20241231,,,36.4001,15.1677
301275.SZ,20250425,20241231,,,38.0216,28.4012
603535.SH,20250220,20241231,32.6797,190.7921,20.4851,7.3861
603271.SH,20250424,20241231,21.5645,0.7899,5.8712,21.0691
870355.BJ,20250501,20241231,-6.287,25.1056,-7.9943,17.6363
874111.BJ,20250221,20241231,25.3635,-20.2185,-1.7655,13.2645
301479.SZ,20250428,20241231,,,58.1813,32.4335
874111.BJ,20250221,20241231,25.3619,-20.2185,-1.7653,13.2645
874325.BJ,20250222,20241231,0.1517,24.9561,24.8704,35.4348
600535.SH,20250225,20241231,-3.1884,191.8287,40.5107,8.5343
300033.SZ,20250225,20241231,55.3934,85.5361,89.6638,23.0807
301522.SZ,20250225,20241231,19.5062,14.0548,2.374,8.6499
603050.SH,20250225,20241231,-5.5969,-75.8211,7.023,8.7413
603196.SH,20250226,20241231,-26.5096,-3100.7574,53.8067,-23.0713
002315.SZ,20250226,20241231,13.6172,15.1181,95.1437,17.5772
002188.SZ,20250226,20241231,8.9803,537.6437,42.1983,11.9917
301501.SZ,20250425,20241231,,,31.554,22.9343
002675.SZ,20250227,20241231,2.3468,122.2904,14.4662,1.7129
688082.SH,20250227,20241231,44.138,66.0384,39.5332,15.7017
603009.SH,20250228,20241231,2.6334,-51.8051,20.8588,3.3743
605077.SH,20250228,20241231,-5.1297,-15.6458,9.1817,8.1862
002162.SZ,20250228,20241231,-7.2304,-94.0208,15.4516,-18.4266
688100.SH,20250228,20241231,42.6982,16.4318,10.0751,19.4094
600299.SH,20250228,20241231,16.4992,132.2316,17.4036,8.8048
600359.SH,20250228,20241231,210.8843,-244.8894,23.0809,2.7108
600506.SH,20250228,20241231,4.2862,123.2055,26.1613,4.5309
600816.SH,20250228,20241231,,44.1376,-6375.1545,0.6247
001207.SZ,20250228,20241231,25.7708,31.6582,15.5929,14.8886
002138.SZ,20250228,20241231,24.7158,27.5425,18.5797,12.7774
002271.SZ,20250228,20241231,-14.813,-1358.2986,62.1335,0.4638
300842.SZ,20250228,20241231,9.5711,-27.8292,9.3301,29.3009
002818.SZ,20250228,20241231,-4.1918,-24.1822,-19.1029,11.6111
688486.SH,20250228,20241231,31.0433,56.2112,51.4453,7.7885
688311.SH,20250228,20241231,12.639,-106.4691,,
603124.SH,20250429,20241231,,,2.0716,12.2469
001382.SZ,20250421,20241231,,,11.5314,11.4704
833070.BJ,20250301,20241231,,,,31.9208
873689.BJ,20250419,20241231,12.2624,1.5169,-2.128,16.962
833070.BJ,20250301,20241231,-98.8459,-114.0275,-266.3112,31.9208
873689.BJ,20250419,20241231,12.2624,1.5169,-2.128,16.962
000063.SZ,20250301,20241231,-10.337,-65.0819,10.977,8.7761
688041.SH,20250301,20241231,46.2158,12.0948,19.1203,9.3222
873735.BJ,20250301,20241231,,,,36.1201
873879.BJ,20250301,20241231,19.9888,-4.9859,17.5979,32.2806
874397.BJ,20250327,20241231,,,,15.7918
874400.BJ,20250304,20241231,32.5822,218.927,28.488,12.8229
873669.BJ,20250304,20241231,13.4281,16.4475,28.3517,20.9289
688015.SH,20250227,20241231,1.3433,21.9553,,
688311.SH,20250425,20241231,-8.2602,-112.238,-286.4353,-16.1432
920116.BJ,20250304,20241231,16.3993,-0.8249,48.6378,17.2502
300353.SZ,20250304,20241231,-10.2948,-54.5711,44.8136,0.4308
000429.SZ,20250304,20241231,-10.3801,-25.8828,67.8935,16.1903
688568.SH,20250304,20241231,11.9978,-13.9545,33.5801,6.4707
603019.SH,20250305,20241231,-22.5685,5.1588,78.3085,7.0249
872808.BJ,20250305,20241231,-17.2802,-17.9483,2.3352,3.0852
874194.BJ,20250423,20241231,,,,24.5693
874435.BJ,20250326,20241231,-11.9836,-8.401,32.8073,20.4246
873702.BJ,20250306,20241231,,,,31.7225
874087.BJ,20250306,20241231,7.9059,-0.3615,50.5002,8.0591
873702.BJ,20250306,20241231,4.6277,-8.8605,10.6557,31.7225
839010.BJ,20250306,20241231,,,,13.3275
301535.SZ,20250425,20241231,,,-6.9129,13.4063
688757.SH,20250306,20241231,,,54.5573,12.8616
603759.SH,20250306,20241231,33.0797,135.5482,49.2771,10.2459
000534.SZ,20250307,20241231,18.5604,-0.3158,20.9422,12.4714
603103.SH,20250307,20241231,-10.1203,-62.473,2.2262,-17.8111
872709.BJ,20250307,20241231,,,,14.9229
301629.SZ,20250307,20241231,,,,13.0599
873697.BJ,20250307,20241231,6.7425,57.3364,8.8308,35.262
603303.SH,20250308,20241231,8.1798,-9.0096,40.9189,8.4828
874308.BJ,20250308,20241231,,,,13.1429
874308.BJ,20250308,20241231,2.1775,-9.6964,53.0782,13.1429
874134.BJ,20250429,20241231,3.4045,57.6369,7.8508,8.7429
874280.BJ,20250308,20241231,,,,35.2986
873374.BJ,20250308,20241231,,,,10.786
605499.SH,20250308,20241231,25.1227,61.2081,83.9485,46.5651
000795.SZ,20250308,20241231,-6.5291,466.0554,10.2553,8.0184
600113.SH,20250308,20241231,-49.9479,-70.763,61.6834,4.769
600151.SH,20250308,20241231,-22.2129,92.9055,-1.118,-3.4236
600605.SH,20250308,20241231,-18.3438,-125.2879,42.9255,1.2964
600830.SH,20250308,20241231,121.0714,-182.6275,17.486,2.3048
002668.SZ,20250308,20241231,15.0641,29.6717,20.2114,52.0927
000534.SZ,20250307,20241231,18.5604,-0.3158,20.9422,12.4714
600433.SH,20250311,20241231,11.4604,391.5601,24.5284,1.1209
002145.SZ,20250311,20241231,27.6023,38.1941,15.9877,3.6522
605339.SH,20250311,20241231,7.7922,-52.3305,5.553,5.372
001376.SZ,20250311,20241231,5.808,36.6766,41.1585,16.4956
603132.SH,20250311,20241231,-0.5358,28.9195,55.5203,15.6117
000739.SZ,20250311,20241231,-8.1516,-20.8471,1.5758,15.1865
002245.SZ,20250311,20241231,25.6594,447.0495,32.615,6.418
603093.SH,20250311,20241231,-10.5602,-3.6606,407.8114,11.6241
688093.SH,20250311,20241231,88.3367,115.4416,49.3598,13.4694
301277.SZ,20250311,20241231,17.2637,42.7014,16.4662,10.7409
874433.BJ,20250311,20241231,-17.0247,-71.3119,13.1836,14.093
874392.BJ,20250311,20241231,63.2294,-70.7322,-57.6044,18.1072
600963.SH,20250312,20241231,-8.9005,760.556,13.2814,-2.4433
