model,threshold,signals,signal_rate,hit_rate,avg_future_mean_return
price_only,0.35,822,0.8491735537190083,0.2822384428223844,0.03033989646046728
price_only,0.45,430,0.44421487603305787,0.2930232558139535,0.0034201952068244872
price_only,0.55,147,0.1518595041322314,0.21768707482993196,-0.029298820064070443
price_only,0.65,51,0.05268595041322314,0.19607843137254902,-0.11115921910109451
price_only_rolling756,0.35,246,0.25413223140495866,0.1951219512195122,-0.0388274865158115
price_only_rolling756,0.45,169,0.17458677685950413,0.13609467455621302,-0.06282574223241051
price_only_rolling756,0.55,125,0.12913223140495866,0.128,-0.07747971742238306
price_only_rolling756,0.65,110,0.11363636363636363,0.12727272727272726,-0.07434525168835748
price_plus_market_regime,0.35,749,0.7737603305785123,0.30040053404539385,0.03586618747547764
price_plus_market_regime,0.45,379,0.3915289256198347,0.35356200527704484,0.0341513393161193
price_plus_market_regime,0.55,186,0.1921487603305785,0.22580645161290322,-0.015027512791035525
price_plus_market_regime,0.65,140,0.1446280991735537,0.2357142857142857,-0.014912544331269118
price_plus_market_regime_rolling756,0.35,232,0.2396694214876033,0.1896551724137931,-0.04443708863677036
price_plus_market_regime_rolling756,0.45,180,0.1859504132231405,0.14444444444444443,-0.05874332176230555
price_plus_market_regime_rolling756,0.55,135,0.13946280991735538,0.1259259259259259,-0.07958221992157449
price_plus_market_regime_rolling756,0.65,110,0.11363636363636363,0.12727272727272726,-0.07059402873754379
price_regime_cross_breadth,0.35,730,0.7541322314049587,0.31095890410958904,0.03514880492341908
price_regime_cross_breadth,0.45,384,0.39669421487603307,0.3255208333333333,0.019016180162943555
price_regime_cross_breadth,0.55,204,0.21074380165289255,0.2107843137254902,-0.019149296577438645
price_regime_cross_breadth,0.65,151,0.1559917355371901,0.23178807947019867,-0.007501552771122503
price_regime_cross_breadth_rolling756,0.35,225,0.23243801652892562,0.22666666666666666,-0.03675307884639308
price_regime_cross_breadth_rolling756,0.45,165,0.17045454545454544,0.1393939393939394,-0.06283489939738951
price_regime_cross_breadth_rolling756,0.55,133,0.13739669421487602,0.11278195488721804,-0.08232887810013394
price_regime_cross_breadth_rolling756,0.65,109,0.11260330578512397,0.12844036697247707,-0.06892468568746804
