model,samples,event_rate,mean_probability,brier,log_loss,roc_auc
price_only,968,0.32954545454545453,0.44986765133972817,0.26149304785007144,0.7189886647214282,0.401963957088552
expanding_rate_baseline,968,0.32954545454545453,0.43675965198144423,0.2647300498680644,0.7236224899891492,0.21384961672406547
rolling_504_rate_baseline,968,0.32954545454545453,0.23837399973763612,0.26680134289712215,0.7830967182960308,0.46313595548492736
price_only_rolling756,968,0.32954545454545453,0.2963154209828534,0.2952514143281338,0.830004758153262,0.36588240408441247
price_plus_market_regime,968,0.32954545454545453,0.44455428897819294,0.26662721558945907,0.7325308204648296,0.4333747119996522
price_plus_market_regime_rolling756,968,0.32954545454545453,0.2900163076298238,0.3127390355682673,0.8938693404773241,0.3570286575440393
price_regime_cross_breadth,968,0.32954545454545453,0.44665380933367826,0.27031378627982383,0.7413864037726213,0.44296264810583924
price_regime_cross_breadth_rolling756,968,0.32954545454545453,0.2874044276667191,0.31283731843019136,0.9091169128494889,0.36930218179886104
