model,prob_bin,samples,predicted_probability,realized_rate,avg_future_mean_return
price_only,0-10%,0,,,
price_only,10-20%,0,,,
price_only,20-35%,146,0.315233368343712,0.5958904109589042,0.13801104612818527
price_only,35-50%,550,0.42140018394374024,0.2636363636363636,0.04176687169256947
price_only,50-65%,221,0.5545507419691064,0.34841628959276016,0.03455536485858241
price_only,65-80%,51,0.688666658322457,0.19607843137254902,-0.11115921910109451
price_only,80-100%,0,,,
price_only_rolling756,0-10%,79,0.07335086567350402,0.379746835443038,0.050737298802805766
price_only_rolling756,10-20%,311,0.1573142888804036,0.4983922829581994,0.15032082649525166
price_only_rolling756,20-35%,332,0.2713906438782311,0.25903614457831325,0.0116944146465779
price_only_rolling756,35-50%,96,0.40866462498428135,0.2604166666666667,0.007411063433930467
price_only_rolling756,50-65%,40,0.5458458212210824,0.225,-0.052126152170690734
price_only_rolling756,65-80%,93,0.7191638718049267,0.010752688172043012,-0.11115947296550542
price_only_rolling756,80-100%,17,0.82731144638968,0.7647058823529411,0.1270501941219224
price_plus_market_regime,0-10%,0,,,
price_plus_market_regime,10-20%,9,0.19246472542315893,0.8888888888888888,0.17779668135941773
price_plus_market_regime,20-35%,210,0.2986425710131262,0.4095238095238095,0.07916696701834117
price_plus_market_regime,35-50%,484,0.41337633792776096,0.30165289256198347,0.049885074366927344
price_plus_market_regime,50-65%,125,0.5518131501899997,0.368,0.03845723705534071
price_plus_market_regime,65-80%,139,0.6908600810226009,0.2302158273381295,-0.01677916563426206
price_plus_market_regime,80-100%,1,0.8010866963980754,1.0,0.24454781678475102
price_plus_market_regime_rolling756,0-10%,127,0.0636225976948347,0.5511811023622047,0.12834599975883926
price_plus_market_regime_rolling756,10-20%,318,0.15878621201928844,0.4088050314465409,0.10761948884397783
price_plus_market_regime_rolling756,20-35%,291,0.2626674367003832,0.25773195876288657,0.016754201949114568
price_plus_market_regime_rolling756,35-50%,78,0.4176672110609599,0.32051282051282054,0.005374171548754363
price_plus_market_regime_rolling756,50-65%,44,0.5639934210708746,0.11363636363636363,-0.06734651780463063
price_plus_market_regime_rolling756,65-80%,59,0.7301356345249039,0.0,-0.14674223238066514
price_plus_market_regime_rolling756,80-100%,51,0.8873278617575976,0.27450980392156865,0.017498991163322077
price_regime_cross_breadth,0-10%,0,,,
price_regime_cross_breadth,10-20%,19,0.18403139237428343,1.0,0.2740246300785796
price_regime_cross_breadth,20-35%,219,0.3063478980589041,0.3333333333333333,0.06494937013529778
price_regime_cross_breadth,35-50%,454,0.41050522814283663,0.33480176211453744,0.05794410483703442
price_regime_cross_breadth,50-65%,125,0.5568995637712224,0.32,0.0038779077321743917
price_regime_cross_breadth,65-80%,149,0.6991182638743583,0.2214765100671141,-0.010658418273524609
price_regime_cross_breadth,80-100%,2,0.8118304697295907,1.0,0.22768492715783484
price_regime_cross_breadth_rolling756,0-10%,139,0.058532081388896866,0.5323741007194245,0.116932997418021
price_regime_cross_breadth_rolling756,10-20%,306,0.15817575288004768,0.39869281045751637,0.10998132707125377
price_regime_cross_breadth_rolling756,20-35%,298,0.26624353622620167,0.24161073825503357,0.01157878402935913
price_regime_cross_breadth_rolling756,35-50%,82,0.41969766874327075,0.3902439024390244,0.025566109358785144
price_regime_cross_breadth_rolling756,50-65%,34,0.5717909345805205,0.14705882352941177,-0.08391391082131791
price_regime_cross_breadth_rolling756,65-80%,50,0.7235402582322711,0.0,-0.15335126507030397
price_regime_cross_breadth_rolling756,80-100%,59,0.8863738808021231,0.23728813559322035,0.002623262942053933
