model,samples,event_rate,mean_probability,brier,log_loss,roc_auc
price_only,998,0.26452905811623245,0.35682754821946305,0.20928825946398408,0.608491351056455,0.5328730080092478
expanding_rate_baseline,998,0.26452905811623245,0.3424675084435677,0.21395569248387142,0.6204557300399163,0.2582311534968211
rolling_504_rate_baseline,998,0.26452905811623245,0.23457231924165795,0.21256609969750534,0.6332801044360572,0.4375619271736438
price_only_rolling756,998,0.26452905811623245,0.2638695101073284,0.24043806110139668,0.6846884348130635,0.3846296755016101
price_plus_market_regime,998,0.26452905811623245,0.3618862700056134,0.2122512968230593,0.6150306130141228,0.5329091321938734
price_plus_market_regime_rolling756,998,0.26452905811623245,0.27046390973609363,0.24206357991291125,0.6845661742093196,0.43396499050450005
price_regime_cross_breadth,998,0.26452905811623245,0.36098275143133624,0.2135393743439288,0.6182881446435794,0.5071267855668401
price_regime_cross_breadth_rolling756,998,0.26452905811623245,0.2578179976260406,0.23864688255272165,0.6782711099906266,0.4639532243415077
