ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300548.SZ,20260605,219.0,7.1043,8.7248,,192.7107,171.9791,30.506,25.4791,24.216,,,29465.4628,27236.2128,22177.6471,6452936.3532,5964730.6032
300548.SZ,20260604,230.0,7.7388,9.5039,0.91,202.3902,180.6173,32.0383,26.7589,25.4323,0.0344,0.0344,29465.4628,27236.2128,22177.6471,6777056.444,6264328.944
300548.SZ,20260603,244.9,8.838,10.8538,1.16,215.5016,192.3182,34.1138,28.4924,27.0799,0.0323,0.0323,29465.4628,27236.2128,22177.6471,7216091.8397,6670148.5147
300548.SZ,20260602,234.6,7.4133,9.1043,1.05,206.438,184.2296,32.6791,27.294,25.941,0.0337,0.0337,29465.4628,27236.2128,22177.6471,6912597.5729,6389615.5229
300548.SZ,20260601,219.34,9.5321,11.7063,1.49,193.0099,172.2461,30.5534,25.5187,24.2536,0.036,0.036,29465.4628,27236.2128,22177.6471,6462954.6106,5973990.9156
300548.SZ,20260529,249.21,11.3253,13.9304,2.22,217.9043,194.4624,34.8987,28.8101,27.3818,0.0319,0.0319,29278.7128,27049.4628,21990.8971,7296548.0169,6740996.6244
300548.SZ,20260528,240.15,5.7308,7.0564,1.13,209.1115,186.6155,33.4905,27.6475,26.2769,0.0331,0.0331,29157.2728,26928.0228,21869.4571,7002119.0629,6466764.6754
300548.SZ,20260527,230.96,4.349,5.355,0.81,201.1092,179.4742,32.2089,26.5895,25.2714,0.0346,0.0346,29157.2728,26928.0228,21869.4571,6734163.7259,6219296.1459
300548.SZ,20260526,236.13,4.7054,5.7938,0.8,205.611,183.4917,32.9299,27.1847,25.8371,0.0338,0.0338,29157.2728,26928.0228,21869.4571,6884906.8263,6358514.0238
300548.SZ,20260525,246.0,6.1506,7.5732,1.09,214.2054,191.1614,34.3063,28.321,26.917,0.0325,0.0325,29157.2728,26928.0228,21869.4571,7172689.1088,6624293.6088
300548.SZ,20260522,240.3,4.673,5.7539,0.77,209.2421,186.7321,33.5114,27.6648,26.2934,0.0332,0.0332,29157.2728,26928.0228,21869.4571,7006492.6538,6470803.8788
300548.SZ,20260521,231.47,5.5813,6.8723,0.92,201.5533,179.8705,32.28,26.6482,25.3272,0.0345,0.0345,29157.2728,26928.0228,21869.4571,6749033.935,6233029.4375
300548.SZ,20260520,242.11,5.8364,7.1864,0.98,210.8182,188.1386,33.7638,27.8732,26.4914,0.033,0.033,29157.2728,26928.0228,21869.4571,7059267.3176,6519543.6001
300548.SZ,20260519,239.32,7.248,8.9246,1.29,208.3887,185.9705,33.3747,27.552,26.1861,0.0334,0.0334,29157.2728,26928.0228,21869.4571,6977918.5265,6444414.4165
300548.SZ,20260518,251.98,4.8071,5.919,0.82,219.4125,195.8084,35.1403,29.0095,27.5714,0.0317,0.0317,29157.2728,26928.0228,21869.4571,7347049.6001,6785323.1851
300548.SZ,20260515,251.4,7.0417,8.6705,1.25,218.9075,195.3576,35.0594,28.9427,27.5079,0.0318,0.0318,29157.2728,26928.0228,21869.4571,7330138.3819,6769704.9319
300548.SZ,20260514,266.99,5.2803,6.5017,0.86,232.4825,207.4723,37.2335,30.7375,29.2137,0.0299,0.0299,29157.2728,26928.0228,21869.4571,7784700.2649,7189512.8074
300548.SZ,20260513,273.1,5.4144,6.6668,0.8,237.8028,212.2203,38.0856,31.4409,29.8823,0.0292,0.0292,29157.2728,26928.0228,21869.4571,7962851.2017,7354043.0267
300548.SZ,20260512,271.8,5.5246,6.8025,0.77,236.6708,211.2101,37.9043,31.2913,29.74,0.0294,0.0294,29157.2728,26928.0228,21869.4571,7924946.747,7319036.597
300548.SZ,20260511,275.67,6.0699,7.4739,0.86,240.0406,214.2174,38.444,31.7368,30.1635,0.029,0.029,29157.2728,26928.0228,21869.4571,8037785.3928,7423248.0453
