ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
688041.SH,20260605,274.06,1.4293,3.6987,,250.3086,233.6709,27.1098,44.3078,39.7873,,,232433.8091,232433.8091,89817.7181,63700809.7219,63700809.7219
688041.SH,20260604,285.79,1.0832,2.8033,0.68,261.022,243.6722,28.2701,46.2042,41.4902,0.0594,0.0314,232433.8091,232433.8091,89817.7181,66427258.3027,66427258.3027
688041.SH,20260603,285.94,1.6098,4.166,0.96,261.159,243.8001,28.2849,46.2284,41.512,0.0593,0.0314,232433.8091,232433.8091,89817.7181,66462123.3741,66462123.3741
688041.SH,20260602,283.49,1.2158,3.1463,0.65,258.9214,241.7112,28.0426,45.8323,41.1563,0.0598,0.0317,232433.8091,232433.8091,89817.7181,65892660.5418,65892660.5418
688041.SH,20260601,275.36,1.726,4.4667,0.87,251.4959,234.7793,27.2383,44.518,39.976,0.0616,0.0326,232433.8091,232433.8091,89817.7181,64002973.6738,64002973.6738
688041.SH,20260529,293.9,1.8365,4.7527,0.95,268.4292,250.587,29.0723,47.5154,42.6676,0.0577,0.0306,232433.8091,232433.8091,89817.7181,68312296.4945,68312296.4945
688041.SH,20260528,314.36,1.5669,4.055,0.76,287.116,268.0317,31.0962,50.8232,45.638,0.054,0.0286,232433.8091,232433.8091,89817.7181,73067892.2287,73067892.2287
688041.SH,20260527,316.79,2.0034,5.1846,0.99,289.3354,270.1036,31.3366,51.216,45.9907,0.0536,0.0284,232433.8091,232433.8091,89817.7181,73632706.3848,73632706.3848
688041.SH,20260526,341.16,2.2868,5.9177,1.18,311.5934,290.8821,33.7472,55.156,49.5287,0.0497,0.0263,232433.8091,232433.8091,89817.7181,79297118.3126,79297118.3126
688041.SH,20260525,329.68,2.224,5.7554,1.23,301.1083,281.094,32.6116,53.3,47.8621,0.0515,0.0272,232433.8091,232433.8091,89817.7181,76628778.1841,76628778.1841
688041.SH,20260522,312.4,1.5945,4.1262,0.81,285.3259,266.3606,30.9023,50.5063,45.3534,0.0543,0.0288,232433.8091,232433.8091,89817.7181,72612321.9628,72612321.9628
688041.SH,20260521,307.0,2.2197,5.7442,1.17,280.3939,261.7564,30.3681,49.6333,44.5695,0.0553,0.0293,232433.8091,232433.8091,89817.7181,71357179.3937,71357179.3937
