ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300433.SZ,20260605,45.61,4.6309,12.2348,,59.9238,70.0027,4.4084,3.2356,3.368,,,527874.087,496970.0009,188106.4776,24076337.1081,22666801.741
300433.SZ,20260604,43.64,3.5805,9.4595,0.84,57.3355,66.9792,4.218,3.0959,3.2225,1.1423,1.1423,527874.087,496970.0009,188106.4776,23036425.1567,21687770.8393
300433.SZ,20260603,44.39,5.752,15.1965,1.44,58.3209,68.1303,4.2905,3.1491,3.2779,1.123,1.123,527874.087,496970.0009,188106.4776,23432330.7219,22060498.34
300433.SZ,20260602,41.23,3.4816,9.1983,0.88,54.1692,63.2803,3.9851,2.9249,3.0445,1.2091,1.2091,527874.087,496970.0009,188106.4776,21764248.607,20490073.1371
300433.SZ,20260601,41.83,4.3443,11.4776,1.1,54.9575,64.2012,4.0431,2.9675,3.0888,1.1917,1.1917,527874.087,496970.0009,188106.4776,22080973.0592,20788255.1376
300433.SZ,20260529,40.5,3.9826,10.5219,0.98,53.2101,62.1599,3.9145,2.8731,2.9906,1.2309,1.2309,527874.087,496970.0009,188106.4776,21378900.5235,20127285.0365
300433.SZ,20260528,40.23,3.8602,10.1985,0.91,52.8554,61.7455,3.8884,2.854,2.9707,1.2391,1.2391,527874.087,496970.0009,188106.4776,21236374.52,19993103.1362
300433.SZ,20260527,40.28,4.3542,11.5036,1.05,52.9211,61.8222,3.8932,2.8575,2.9744,1.2376,1.2376,527874.087,496970.0009,188106.4776,21262768.2244,20017951.6363
300433.SZ,20260526,38.48,3.1633,8.3574,0.71,50.5562,59.0595,3.7193,2.7298,2.8415,1.2955,1.2955,527874.087,496970.0009,188106.4776,20312594.8678,19123405.6346
300433.SZ,20260525,39.52,4.4257,11.6926,0.91,51.9225,60.6557,3.8198,2.8036,2.9183,1.2614,1.2614,527874.087,496970.0009,188106.4776,20861583.9182,19640254.4356
300433.SZ,20260522,38.4,4.4688,11.8065,0.89,50.4511,58.9368,3.7115,2.7242,2.8356,1.2982,1.2982,527874.087,496970.0009,188106.4776,20270364.9408,19083648.0346
300433.SZ,20260521,36.51,4.7566,12.5668,0.99,47.9679,56.036,3.5289,2.5901,2.696,1.3654,1.3654,527874.087,496970.0009,188106.4776,19272682.9164,18144374.7329
300433.SZ,20260520,36.31,3.842,10.1503,0.81,47.7052,55.729,3.5095,2.5759,2.6812,1.3729,1.3729,527874.087,496970.0009,188106.4776,19167108.099,18044980.7327
300433.SZ,20260519,37.96,4.8288,12.7575,1.12,49.873,58.2614,3.669,2.6929,2.8031,1.3132,1.3132,527874.087,496970.0009,188106.4776,20038100.3425,18864981.2342
