ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600886.SH,20260907,14.25,0.4286,1.3739,1.21,15.4279,15.9883,1.719,2.1516,2.2277,3.2035,3.5656,800449.4262,745417.9797,232532.2636,11406404.3775,10622206.215
600886.SH,20260904,14.25,0.2357,0.7557,0.55,15.4279,15.9883,1.719,2.1516,2.2277,3.2035,3.5656,800449.4262,745417.9797,232532.2636,11406404.3775,10622206.215
600886.SH,20260903,14.24,0.3896,1.2489,0.96,15.417,15.9771,1.7178,2.1501,2.2261,3.2058,3.5681,800449.4262,745417.9797,232532.2636,11398399.8832,10614752.0352
600886.SH,20260902,14.18,0.452,1.4491,1.21,15.3521,15.9097,1.7105,2.141,2.2167,3.2193,3.5832,800449.4262,745417.9797,232532.2636,11350372.9174,10570026.9564
600886.SH,20260901,13.92,0.3403,1.0909,0.95,15.0706,15.618,1.6792,2.1017,2.1761,3.2795,3.6501,800449.4262,745417.9797,232532.2636,11142256.0656,10376218.2816
600886.SH,20260831,13.7,0.359,1.1508,1.03,14.8324,15.3712,1.6526,2.0685,2.1417,3.3321,3.7088,800449.4262,745417.9797,232532.2636,10966157.191,10212226.326
600886.SH,20260828,13.64,0.5952,1.9079,2.05,14.7674,15.3039,1.6454,2.0595,2.1323,3.3468,3.7251,800449.4262,745417.9797,232532.2636,10918130.2252,10167501.2472
600886.SH,20260827,13.91,0.2798,0.8968,0.91,15.0598,14.9792,1.6132,2.1002,2.1246,3.2818,3.6528,800449.4262,745417.9797,232532.2636,11134251.5713,10368764.1018
600886.SH,20260826,14.05,0.2947,0.9446,0.84,15.2113,15.1299,1.6295,2.1214,2.146,3.2491,3.6164,800449.4262,745417.9797,232532.2636,11246314.4915,10473122.619
600886.SH,20260825,13.9,0.2607,0.8358,0.68,15.0489,14.9684,1.6121,2.0987,2.1231,3.2842,3.6554,800449.4262,745417.9797,232532.2636,11126247.077,10361309.922
600886.SH,20260824,13.94,0.3182,1.0199,0.82,15.0922,15.0115,1.6167,2.1048,2.1292,3.2747,3.6449,800449.4262,745417.9797,232532.2636,11158265.0542,10391126.6412
600886.SH,20260821,13.76,0.2975,0.9536,0.75,14.8974,14.8176,1.5958,2.0776,2.1017,3.3176,3.6926,800449.4262,745417.9797,232532.2636,11014184.1568,10256951.4048
600886.SH,20260820,13.94,0.3658,1.1727,0.95,15.0922,15.0115,1.6167,2.1048,2.1292,3.2747,3.6449,800449.4262,745417.9797,232532.2636,11158265.0542,10391126.6412
600886.SH,20260819,14.06,0.5032,1.6132,1.46,15.2222,15.1407,1.6306,2.1229,2.1475,3.2468,3.6138,800449.4262,745417.9797,232532.2636,11254318.9858,10480576.7988
600886.SH,20260818,13.74,0.4378,1.4034,1.34,14.8757,14.7961,1.5935,2.0746,2.0986,3.3224,3.698,800449.4262,745417.9797,232532.2636,10998175.1682,10242043.0452
600886.SH,20260817,13.85,0.3308,1.0605,0.99,14.9948,14.9146,1.6063,2.0912,2.1154,3.296,3.6686,800449.4262,745417.9797,232532.2636,11086224.6055,10324039.023
600886.SH,20260814,13.78,0.3335,1.0691,0.95,14.919,14.8392,1.5982,2.0806,2.1047,3.3128,3.6872,800449.4262,745417.9797,232532.2636,11030193.1454,10271859.7644
600886.SH,20260813,13.95,0.3118,0.9994,0.86,15.1031,15.0222,1.6179,2.1063,2.1307,3.2724,3.6423,800449.4262,745417.9797,232532.2636,11166269.5485,10398580.821
600886.SH,20260812,14.0,0.31,0.9936,0.79,15.1572,15.0761,1.6237,2.1138,2.1383,3.2607,3.6293,800449.4262,745417.9797,232532.2636,11206292.02,10435851.72
600886.SH,20260811,14.28,0.3433,1.1005,0.81,15.4603,15.3776,1.6561,2.1561,2.1811,3.1968,3.5581,800449.4262,745417.9797,232532.2636,11430417.8604,10644568.7544
600886.SH,20260810,14.26,0.3805,1.2197,0.9,15.4387,15.3561,1.6538,2.1531,2.1781,3.2013,3.5631,800449.4262,745417.9797,232532.2636,11414408.8718,10629660.3948
600886.SH,20260807,14.23,0.4006,1.2841,0.88,15.4062,15.3238,1.6503,2.1485,2.1735,3.208,3.5706,800449.4262,745417.9797,232532.2636,11390395.3889,10607297.8554
600886.SH,20260806,14.88,0.3832,1.2284,0.79,16.1099,16.0237,1.7257,2.2467,2.2728,3.0679,3.0679,800449.4262,745417.9797,232532.2636,11910687.5184,11091819.5424
600886.SH,20260805,14.79,0.464,1.4873,0.94,16.0125,15.9268,1.7153,2.2331,2.259,3.0865,3.0865,800449.4262,745417.9797,232532.2636,11838647.0697,11024731.9242
600886.SH,20260804,15.03,0.5004,1.6042,0.96,16.2723,16.1852,1.7431,2.2693,2.2957,3.0373,3.0373,800449.4262,745417.9797,232532.2636,12030754.9329,11203632.2394
600886.SH,20260803,15.22,0.354,1.1348,0.62,16.478,16.3899,1.7652,2.298,2.3247,2.9993,2.9993,800449.4262,745417.9797,232532.2636,12182840.3246,11345261.6556
600886.SH,20260731,15.25,0.5708,1.8298,0.92,16.5105,16.4222,1.7686,2.3026,2.3293,2.9934,2.9934,800449.4262,745417.9797,232532.2636,12206853.8075,11367624.195
600886.SH,20260730,15.43,0.5254,1.6842,0.79,16.7054,16.616,1.7895,2.3297,2.3568,2.9585,2.9585,800449.4262,745417.9797,232532.2636,12350934.7049,11501799.4314
600886.SH,20260729,15.21,0.5267,1.6883,0.71,16.4672,16.3791,1.764,2.2965,2.3232,3.0013,3.0013,800449.4262,745417.9797,232532.2636,12174835.8303,11337807.4758
600886.SH,20260728,15.1,0.6278,2.0125,0.76,16.3481,16.2606,1.7512,2.2799,2.3064,3.0232,3.0232,800449.4262,745417.9797,232532.2636,12086786.393,11255811.498
600886.SH,20260727,14.72,0.6096,1.9541,0.67,15.9367,15.8514,1.7072,2.2225,2.2483,3.1012,3.1012,800449.4262,745417.9797,232532.2636,11782615.6096,10972552.6656
600886.SH,20260724,14.82,0.8133,2.6071,0.83,16.045,15.9591,1.7188,2.2376,2.2636,3.0803,3.0803,800449.4262,745417.9797,232532.2636,11862660.5526,11047094.4636
600886.SH,20260723,15.12,0.7487,2.4001,0.73,16.3698,16.2822,1.7536,2.2829,2.3094,3.0192,3.0192,800449.4262,745417.9797,232532.2636,12102795.3816,11270719.8576
600886.SH,20260722,15.3,0.8845,2.8355,0.9,16.5646,16.476,1.7744,2.3101,2.3369,2.9837,2.9837,800449.4262,745417.9797,232532.2636,12246876.279,11404895.094
600886.SH,20260721,15.03,1.0511,3.3693,1.18,16.2723,16.1852,1.7431,2.2693,2.2957,3.0373,3.0373,800449.4262,745417.9797,232532.2636,12030754.9329,11203632.2394
600886.SH,20260720,14.95,1.0688,3.4263,1.34,16.1857,16.0991,1.7338,2.2573,2.2834,3.0535,3.0535,800449.4262,745417.9797,232532.2636,11966718.9785,11143998.801
600886.SH,20260717,14.76,1.1221,3.5971,1.7,15.98,15.8945,1.7118,2.2286,2.2544,3.0928,3.0928,800449.4262,745417.9797,232532.2636,11814633.5868,11002369.3848
600886.SH,20260716,14.49,0.9895,3.1719,1.69,15.6877,15.6037,1.6805,2.1878,2.2132,3.1504,3.1504,800449.4262,745417.9797,232532.2636,11598512.2407,10801106.5302
