ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600519.SH,20260907,1316.01,0.202,0.4439,0.91,19.9844,20.2019,6.5476,9.7438,9.6685,3.9311,3.9531,125008.1601,125008.1601,56879.8666,164511988.6416,164511988.6416
600519.SH,20260904,1330.0,0.3633,0.7984,2.06,20.1969,20.4166,6.6173,9.8474,9.7713,3.8898,3.9115,125008.1601,125008.1601,56879.8666,166260852.8,166260852.8
600519.SH,20260903,1298.88,0.142,0.312,0.76,19.7243,19.9389,6.4624,9.6169,9.5427,3.983,4.0052,125008.1601,125008.1601,56879.8666,162370598.8608,162370598.8608
600519.SH,20260902,1297.5,0.1625,0.357,0.86,19.7033,19.9177,6.4556,9.6067,9.5325,3.9872,4.0095,125008.1601,125008.1601,56879.8666,162198087.6,162198087.6
600519.SH,20260901,1299.56,0.2613,0.5743,1.53,19.7346,19.9494,6.4658,9.622,9.5477,3.9809,4.0031,125008.1601,125008.1601,56879.8666,162455604.4096,162455604.4096
600519.SH,20260831,1299.52,0.186,0.4087,0.88,19.734,19.9487,6.4656,9.6217,9.5474,3.981,4.0033,125008.1601,125008.1601,56879.8666,162450604.0832,162450604.0832
600519.SH,20260828,1297.4,0.129,0.2835,0.54,19.7018,19.9162,6.4551,9.606,9.5318,3.9875,4.0098,125008.1601,125008.1601,56879.8666,162185586.784,162185586.784
600519.SH,20260827,1292.3,0.1981,0.4354,0.83,19.6244,19.8379,6.4297,9.5682,9.4943,4.0033,4.0256,125008.1601,125008.1601,56879.8666,161548045.168,161548045.168
600519.SH,20260826,1302.8,0.1738,0.382,0.65,19.7838,19.9991,6.4819,9.646,9.5715,3.971,3.9932,125008.1601,125008.1601,56879.8666,162860630.848,162860630.848
600519.SH,20260825,1304.0,0.1689,0.3712,0.58,19.8021,20.0175,6.4879,9.6548,9.5803,3.9673,3.9895,125008.1601,125008.1601,56879.8666,163010640.64,163010640.64
600519.SH,20260824,1304.66,0.3875,0.8516,1.13,19.8121,20.0277,6.4912,9.6597,9.5851,3.9653,3.9875,125008.1601,125008.1601,56879.8666,163093146.0256,163093146.0256
600519.SH,20260821,1272.83,0.2678,0.5885,0.8,19.3287,19.539,6.3328,9.4241,9.3513,4.0645,4.0872,125008.1601,125008.1601,56879.8666,159114136.2928,159114136.2928
600519.SH,20260820,1291.5,0.2026,0.4454,0.58,19.6122,19.8256,6.4257,9.5623,9.4885,4.0057,4.0281,125008.1601,125008.1601,56879.8666,161448038.64,161448038.64
600519.SH,20260819,1307.88,0.3004,0.6601,0.88,19.861,20.0771,6.5072,9.6836,9.6088,3.9556,3.9777,125008.1601,125008.1601,56879.8666,163495672.3008,163495672.3008
600519.SH,20260818,1297.99,0.3098,0.6808,0.95,19.7108,19.9253,6.458,9.6104,9.5361,3.9857,4.008,125008.1601,125008.1601,56879.8666,162259341.5984,162259341.5984
600519.SH,20260817,1293.09,0.6274,1.3789,2.1,19.6364,19.85,6.4336,9.5741,9.5001,4.0008,4.0232,125008.1601,125008.1601,56879.8666,161646801.6144,161646801.6144
600519.SH,20260814,1341.99,0.2388,0.5519,0.82,20.379,20.2816,6.1928,9.9361,9.7452,3.855,3.8766,125008.1601,125008.1601,54094.8978,167759700.6384,167759700.6384
600519.SH,20260813,1355.29,0.2588,0.5981,0.92,20.5809,20.4826,6.2542,10.0346,9.8418,3.8172,3.8385,125008.1601,125008.1601,54094.8978,169422309.1664,169422309.1664
600519.SH,20260812,1343.0,0.2805,0.6481,0.96,20.3943,20.2969,6.1975,9.9436,9.7525,3.8521,3.8737,125008.1601,125008.1601,54094.8978,167885958.88,167885958.88
