available_date,finance_period,semi_finance_member_count,semi_finance_coverage,semi_finance_sales_positive,semi_finance_profit_positive,semi_finance_cash_positive,semi_finance_roe_positive,semi_finance_sales_median,semi_finance_profit_median,semi_finance_profit_positive_delta,semi_finance_profit_median_delta
2017-04-29,20170331,27,0.9629629629629629,0.8461538461538461,0.7692307692307693,0.5769230769230769,0.7307692307692307,35.60635,41.3392,,
2017-08-31,20170630,30,0.9333333333333333,0.8571428571428571,0.6785714285714286,0.6551724137931034,0.7241379310344828,30.929900000000004,33.9492,-0.09065934065934067,-7.390000000000001
2017-10-31,20170930,30,0.9666666666666667,0.896551724137931,0.7931034482758621,0.6206896551724138,0.7586206896551724,27.7724,33.2322,0.1145320197044335,-0.7169999999999987
2018-04-28,20171231,30,0.9666666666666667,0.7931034482758621,0.6206896551724138,0.8275862068965517,0.7241379310344828,18.2613,11.8823,-0.1724137931034483,-21.349899999999998
2018-04-28,20180331,30,0.9666666666666667,0.8620689655172413,0.5862068965517241,0.4482758620689655,0.75,24.1397,7.099,-0.034482758620689724,-4.7833000000000006
2018-08-31,20180630,30,0.9666666666666667,0.7586206896551724,0.6206896551724138,0.7586206896551724,0.8571428571428571,20.2942,14.1319,0.034482758620689724,7.0329
2018-10-31,20180930,32,0.96875,0.7419354838709677,0.6129032258064516,0.8387096774193549,0.8333333333333334,8.0089,14.1393,-0.007786429365962189,0.007400000000000517
2019-04-30,20181231,32,0.96875,0.5483870967741935,0.3548387096774194,0.9032258064516129,0.8666666666666667,4.5165,-35.6139,-0.25806451612903225,-49.7532
2019-04-30,20190331,33,0.9696969696969697,0.5625,0.46875,0.53125,0.6875,1.59045,-1.24795,0.11391129032258063,34.36595
2019-08-31,20190630,34,0.9705882352941176,0.6363636363636364,0.48484848484848486,0.8787878787878788,0.7878787878787878,5.8813,-0.0409,0.016098484848484862,1.20705
2019-10-31,20190930,41,0.975609756097561,0.8,0.65,0.725,0.8461538461538461,21.31555,6.51625,0.16515151515151516,6.55715
2020-04-30,20191231,43,0.9767441860465116,0.7619047619047619,0.6428571428571429,0.8048780487804879,0.7857142857142857,21.9458,40.6272,-0.0071428571428571175,34.11095
2020-04-30,20200331,47,0.9787234042553191,0.6304347826086957,0.6521739130434783,0.4782608695652174,0.7333333333333333,9.92585,28.1205,0.009316770186335366,-12.506700000000002
2020-08-31,20200630,51,0.9803921568627451,0.64,0.68,0.84,0.8367346938775511,13.42315,19.781799999999997,0.02782608695652178,-8.338700000000003
