trade_date,semi_breadth_member_count,semi_breadth_above_20,semi_breadth_above_60,semi_breadth_above_120,semi_breadth_positive_20,semi_breadth_positive_60,semi_breadth_high_60,semi_breadth_median_ret_20,semi_breadth_median_ret_60,semi_breadth_leader_gap_60
2017-01-03,18,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-04,18,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-05,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-06,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-09,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-10,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-11,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-12,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-13,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-16,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-17,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-18,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-19,19,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-20,19,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,,,
2017-01-23,19,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,,,
2017-01-24,19,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,,,
2017-01-25,19,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,,,
2017-01-26,19,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,,,
2017-02-03,19,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,,,
2017-02-06,19,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,,,
2017-02-07,19,0.2631578947368421,0.0,0.0,0.10526315789473684,0.0,0.0,-0.05697202647875288,,
2017-02-08,20,0.45,0.0,0.0,0.05,0.0,0.0,-0.05219139039664622,,
2017-02-09,20,0.7,0.0,0.0,0.1,0.0,0.0,-0.04971254649983092,,
2017-02-10,20,0.55,0.0,0.0,0.05,0.0,0.0,-0.03747323340471087,,
2017-02-13,20,0.75,0.0,0.0,0.05,0.0,0.0,-0.0409612233752048,,
2017-02-14,20,0.7,0.0,0.0,0.05,0.0,0.0,-0.04925053533190571,,
2017-02-15,20,0.55,0.0,0.0,0.1,0.0,0.0,-0.043915343915343796,,
2017-02-16,21,0.5714285714285714,0.0,0.0,0.19047619047619047,0.0,0.0,-0.02450980392156865,,
2017-02-17,20,0.45,0.0,0.0,0.25,0.0,0.0,-0.01396907826124344,,
2017-02-20,19,0.3684210526315789,0.3157894736842105,0.0,0.6842105263157895,0.0,0.0,0.036470059880239436,,
