名称,市场,产业链环节,细分方向,代码,公司产品简介,供应链确定性,市值(亿元),PE(TTM),2026 PE(预测),2027 PE(预测),2028 PE(预测),"2025净利润(实际/预测,亿元)","2026净利润(预测,亿元)","2027净利润(预测,亿元)","2028净利润(预测,亿元)",2025净利润同比%(实际/预测),2026净利润同比%(预测),2027净利润同比%(预测),2028净利润同比%(预测),最新交易日,当日涨幅%,10日涨幅%,30日涨幅%,60日涨幅%,90日涨幅%,250日涨幅%,预测来源,数据状态,备注
光环新网,A股,算力服务/IDC/云,IDC/云,300383.SZ,数据中心与云服务,主题映射,234,,53.7,44.5,34.4,-7.6,4.4,5.3,6.8,-2.99,-1.574,0.208,0.292,2026-06-05,-3.1,-16.8,-23.9,-17.6,-11.5,-3.3,"report_rc中位数(2025:实际,2026:37,2027:32,2028:2)",OK,
中国移动,港股,算力服务/IDC/云,运营商云,00941.HK,算力网络和云资源,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
金山云,港股,算力服务/IDC/云,云计算,03896.HK,金山云算力和云服务,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
万国数据-SW,港股,算力服务/IDC/云,IDC,09698.HK,数据中心基础设施,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
立讯精密,A股,非Rubin直接链/AI应用,AI终端制造,002475.SZ,AI手机/可穿戴制造,主题映射,5011,29.1,23.9,19.6,14.9,166.0,209.7,255.8,337.4,0.242,0.263,0.22,0.319,2026-06-05,-7.8,-5.0,4.6,47.9,18.4,120.1,"report_rc中位数(2025:实际,2026:98,2027:82,2028:18)",OK,
海康威视,A股,非Rubin直接链/AI应用,视觉AI,002415.SZ,视觉AI与物联感知,主题映射,2867,19.2,18.3,16.0,13.7,142.0,156.8,179.4,209.6,0.185,0.105,0.144,0.168,2026-06-05,2.1,-1.7,-7.3,0.4,0.9,10.8,"report_rc中位数(2025:实际,2026:94,2027:82,2028:17)",OK,
蓝思科技,A股,非Rubin直接链/AI应用,AI终端结构件,300433.SZ,智能终端玻璃与模组,主题映射,2408,70.0,36.3,30.0,28.2,40.2,66.4,80.2,85.5,0.109,0.652,0.207,0.067,2026-06-05,4.5,18.8,69.9,45.0,16.3,117.3,"report_rc中位数(2025:实际,2026:113,2027:82,2028:16)",OK,
汇川技术,A股,非Rubin直接链/AI应用,工业自动化,300124.SZ,机器人控制与工业AI,主题映射,2033,42.9,30.9,26.1,23.6,50.5,65.8,77.8,86.1,0.178,0.304,0.182,0.106,2026-06-05,1.3,-4.9,13.7,6.1,-7.1,12.6,"report_rc中位数(2025:实际,2026:118,2027:87,2028:19)",OK,
同花顺,A股,非Rubin直接链/AI应用,金融AI,300033.SZ,金融数据与AI投顾应用,主题映射,1591,47.6,46.8,37.3,27.6,32.1,34.0,42.6,57.7,0.758,0.061,0.254,0.354,2026-06-05,-4.4,-6.8,-14.0,-33.3,-43.8,-15.5,"report_rc中位数(2025:实际,2026:123,2027:112,2028:32)",OK,
科大讯飞,A股,非Rubin直接链/AI应用,大模型/语音AI,002230.SZ,中文语音与行业大模型,主题映射,1106,128.1,90.5,70.2,53.9,8.4,12.2,15.8,20.5,0.498,0.455,0.291,0.301,2026-06-05,0.4,-2.8,-5.6,-14.0,-27.7,-0.2,"report_rc中位数(2025:实际,2026:86,2027:66,2028:12)",OK,
领益智造,A股,非Rubin直接链/AI应用,AI终端组件,002600.SZ,消费电子与AI硬件组件,主题映射,1102,52.1,33.5,26.0,18.9,22.9,32.9,42.5,58.4,0.305,0.438,0.29,0.376,2026-06-05,0.6,-7.5,5.2,6.5,-8.7,85.9,"report_rc中位数(2025:实际,2026:84,2027:74,2028:10)",OK,
金山办公,A股,非Rubin直接链/AI应用,办公AI,688111.SH,办公软件AI化,主题映射,1085,29.9,47.5,40.1,34.7,18.4,22.8,27.1,31.3,0.116,0.244,0.186,0.155,2026-06-05,-1.4,-3.2,-5.2,-16.7,-33.7,-18.1,"report_rc中位数(2025:实际,2026:182,2027:153,2028:34)",OK,
蓝色光标,A股,非Rubin直接链/AI应用,营销AI,300058.SZ,AI营销与内容生成,主题映射,556,217.9,159.8,126.5,160.7,2.2,3.5,4.4,3.5,-1.773,0.549,0.263,-0.213,2026-06-05,-2.6,-9.5,-17.6,-7.6,-4.9,82.9,"report_rc中位数(2025:实际,2026:21,2027:14,2028:4)",OK,
大华股份,A股,非Rubin直接链/AI应用,机器视觉/安防AI,002236.SZ,视觉AI硬件与方案,主题映射,553,14.2,14.0,12.3,11.0,38.6,39.5,44.9,50.3,0.328,0.024,0.137,0.12,2026-06-05,1.4,-5.3,-8.6,-7.0,-17.4,9.8,"report_rc中位数(2025:实际,2026:44,2027:40,2028:7)",OK,
昆仑万维,A股,非Rubin直接链/AI应用,AIGC/海外应用,300418.SZ,AI应用与内容生成,主题映射,520,,1858.7,188.6,75.4,-15.9,0.3,2.8,6.9,-0.001,-1.018,8.853,1.501,2026-06-05,0.0,-12.3,-25.4,-26.4,-27.4,8.1,"report_rc中位数(2025:实际,2026:35,2027:28,2028:8)",OK,
奥比中光-W,A股,非Rubin直接链/AI应用,3D视觉,688322.SH,机器人与AI终端感知,主题映射,506,375.7,181.2,113.5,59.5,1.3,2.8,4.5,8.5,-3.033,1.182,0.596,0.909,2026-06-05,10.0,6.7,53.2,54.4,28.2,132.8,"report_rc中位数(2025:实际,2026:44,2027:34,2028:6)",OK,
中文在线,A股,非Rubin直接链/AI应用,AI内容,300364.SZ,数字内容和IP,主题映射,174,,226.1,71.8,62.6,-6.7,0.8,2.4,2.8,1.762,-1.114,2.148,0.146,2026-06-05,-0.3,-8.7,-21.6,-17.5,-27.6,13.2,"report_rc中位数(2025:实际,2026:14,2027:12,2028:1)",OK,
拓尔思,A股,非Rubin直接链/AI应用,NLP/政企AI,300229.SZ,自然语言处理与知识图谱,主题映射,140,,151.0,261.3,,-2.9,0.9,0.5,-0.0,2.12,-1.314,-0.422,-1.075,2026-06-05,0.1,-13.1,-14.0,-25.4,-36.5,-10.6,"report_rc中位数(2025:实际,2026:6,2027:5,2028:1)",OK,
万兴科技,A股,非Rubin直接链/AI应用,创意软件AI,300624.SZ,AIGC创意工具,主题映射,110,,116.7,77.8,99.3,-0.9,0.9,1.4,1.1,-0.442,-2.03,0.5,-0.216,2026-06-05,0.7,-9.8,-20.5,-29.0,-42.6,-5.3,"report_rc中位数(2025:实际,2026:32,2027:30,2028:6)",OK,
格灵深瞳,A股,非Rubin直接链/AI应用,机器视觉,688207.SH,AI视觉算法与应用,主题映射,38,,,,,-1.9,,,,-0.119,,,,2026-06-05,0.9,-19.5,1.6,-14.5,-19.8,3.7,report_rc中位数(2025:实际),OK,
腾讯控股,港股,非Rubin直接链/AI应用,云/大模型/应用,00700.HK,腾讯云、混元大模型、AI应用生态,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
快手-W,港股,非Rubin直接链/AI应用,AI内容/推荐,01024.HK,短视频推荐与AIGC应用,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
小米集团-W,港股,非Rubin直接链/AI应用,AI终端/汽车,01810.HK,AI手机、IoT与智能汽车,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
瑞声科技,港股,非Rubin直接链/AI应用,声学/触觉,02018.HK,AI终端声学和传感部件,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
舜宇光学科技,港股,非Rubin直接链/AI应用,光学,02382.HK,AI终端摄像与光学模组,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
美团-W,港股,非Rubin直接链/AI应用,本地生活AI,03690.HK,配送调度和商家AI工具,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
金山软件,港股,非Rubin直接链/AI应用,办公/游戏AI,03888.HK,WPS、游戏和办公AI,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
范式智能,港股,非Rubin直接链/AI应用,企业AI平台,06682.HK,企业级AI平台与行业模型,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
京东集团-SW,港股,非Rubin直接链/AI应用,零售/物流AI,09618.HK,供应链、云和零售AI,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
优必选,港股,非Rubin直接链/AI应用,人形机器人,09880.HK,人形机器人与服务机器人,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
百度集团-SW,港股,非Rubin直接链/AI应用,搜索/大模型,09888.HK,文心大模型与搜索AI,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
阿里巴巴-W,港股,非Rubin直接链/AI应用,云/大模型,09988.HK,阿里云、通义大模型与电商AI,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源
