model,threshold,signals,signal_rate,hit_rate,avg_future_mean_return
price_only,0.35,748,0.7727272727272727,0.20053475935828877,0.025166666259839782
price_only,0.45,342,0.35330578512396693,0.1111111111111111,0.00837926860669467
price_only,0.55,85,0.0878099173553719,0.08235294117647059,-0.08121687973844273
price_only,0.65,31,0.03202479338842975,0.0,-0.19330635418548286
price_only_rolling756,0.35,205,0.21177685950413222,0.024390243902439025,-0.06192450478609591
price_only_rolling756,0.45,187,0.19318181818181818,0.0,-0.0782340245717881
price_only_rolling756,0.55,136,0.14049586776859505,0.0,-0.0824782380302627
price_only_rolling756,0.65,88,0.09090909090909091,0.0,-0.06714226756526462
price_plus_market_regime,0.35,637,0.6580578512396694,0.1946624803767661,0.01835654728887126
price_plus_market_regime,0.45,311,0.3212809917355372,0.1864951768488746,0.030767264915531743
price_plus_market_regime,0.55,145,0.14979338842975207,0.10344827586206896,-0.01798082122837696
price_plus_market_regime,0.65,57,0.058884297520661155,0.19298245614035087,-0.07478637401571327
price_plus_market_regime_rolling756,0.35,211,0.21797520661157024,0.009478672985781991,-0.0602412884265685
price_plus_market_regime_rolling756,0.45,184,0.19008264462809918,0.0,-0.08041685693518144
price_plus_market_regime_rolling756,0.55,149,0.15392561983471073,0.0,-0.08032802288209345
price_plus_market_regime_rolling756,0.65,109,0.11260330578512397,0.0,-0.0714313853082318
price_regime_cross_breadth,0.35,626,0.6466942148760331,0.16293929712460065,0.018356491783711546
price_regime_cross_breadth,0.45,333,0.3440082644628099,0.15915915915915915,0.01633008081833866
price_regime_cross_breadth,0.55,153,0.15805785123966942,0.0915032679738562,-0.016284018696342117
price_regime_cross_breadth,0.65,42,0.04338842975206612,0.21428571428571427,-0.045607430961361765
price_regime_cross_breadth_rolling756,0.35,223,0.2303719008264463,0.008968609865470852,-0.05100325508231782
price_regime_cross_breadth_rolling756,0.45,171,0.17665289256198347,0.0,-0.08227173349161236
price_regime_cross_breadth_rolling756,0.55,138,0.14256198347107438,0.0,-0.08463143685824476
price_regime_cross_breadth_rolling756,0.65,99,0.10227272727272728,0.0,-0.06086110817944813
