ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
601319.SH,20260829,20260829,20260630,1,36745000000.0
601319.SH,20260829,20260829,20260630,1,36745000000.0
601319.SH,20260430,20260430,20260331,1,8814000000.0
601319.SH,20260430,20260430,20260331,1,8814000000.0
601319.SH,20260327,20260327,20251231,1,46646000000.0
601319.SH,20260327,20260327,20251231,1,46646000000.0
601319.SH,20251031,20251031,20250930,1,46822000000.0
601319.SH,20250828,20250828,20250630,1,26530000000.0
601319.SH,20250430,20250430,20250331,1,12849000000.0
601319.SH,20250430,20250430,20250331,1,12849000000.0
601319.SH,20250328,20250328,20241231,1,42869000000.0
601319.SH,20241030,20241030,20240930,1,36331000000.0
601319.SH,20240829,20240829,20240630,1,22687000000.0
601319.SH,20240430,20240430,20240331,1,8963000000.0
601319.SH,20240327,20240327,20231231,1,22773000000.0
