ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
002415.SZ,20260418,20260418,20260331,1,2781171173.25
002415.SZ,20260418,20260418,20251231,1,14195371894.42
002415.SZ,20251018,20251018,20250930,1,9319124728.48
002415.SZ,20250802,20250802,20250630,1,5657349798.68
002415.SZ,20250419,20250419,20250331,1,2038683389.01
002415.SZ,20250419,20250419,20241231,1,11977327023.54
002415.SZ,20241026,20241026,20240930,1,8107748494.46
002415.SZ,20240817,20240817,20240630,1,5064118857.29
002415.SZ,20240420,20240420,20240331,1,1915903199.88
002415.SZ,20240420,20240420,20231231,1,14107621359.66
