ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
601600.SH,20260828,20260828,20260630,1,11871383000.0
601600.SH,20260424,20260424,20260331,1,5527245000.0
601600.SH,20260328,20260328,20251231,1,12673918000.0
601600.SH,20251028,20251028,20250930,1,10872083000.0
601600.SH,20251028,20251028,20250930,1,10872083000.0
601600.SH,20250828,20250828,20250630,1,7070761000.0
601600.SH,20250425,20250425,20250331,1,3537681000.0
601600.SH,20250327,20250327,20241231,1,12400160000.0
601600.SH,20241030,20241030,20240930,1,9016808000.0
601600.SH,20240829,20240829,20240630,1,7016492000.0
601600.SH,20240426,20240426,20240331,1,2230265000.0
601600.SH,20240328,20240328,20231231,1,6716945000.0
