ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
603228.SH,20260423,20260423,20260331,1,232685696.17
603228.SH,20260423,20260423,20260331,1,232685696.17
603228.SH,20260328,20260328,20251231,1,1230969813.3
603228.SH,20260328,20260328,20251231,1,1230969813.3
603228.SH,20251031,20251031,20250930,1,948116588.53
603228.SH,20251031,20251031,20250930,1,948116588.53
603228.SH,20250830,20250830,20250630,1,649550970.36
603228.SH,20250830,20250830,20250630,1,649550970.36
603228.SH,20250429,20250429,20250331,1,324822996.34
603228.SH,20250429,20250429,20241231,1,1169026275.73
603228.SH,20241026,20241026,20240930,1,904418805.69
603228.SH,20240831,20240831,20240630,1,656532509.8
603228.SH,20240427,20240427,20240331,1,317892747.81
603228.SH,20240427,20240427,20231231,1,936251590.98
