ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
003816.SZ,20260826,20260826,20260630,1,6105080689.9
003816.SZ,20260826,20260826,20260630,1,6105080689.9
003816.SZ,20260429,20260429,20260331,1,2740733564.01
003816.SZ,20260326,20260326,20251231,1,9765358959.88
003816.SZ,20251029,20251029,20250930,1,8575941319.43
003816.SZ,20250828,20250828,20250630,1,5951814953.25
003816.SZ,20250424,20250424,20250331,1,3025561686.06
003816.SZ,20250327,20250327,20241231,1,10813873224.82
003816.SZ,20241024,20241024,20240930,1,9983531158.34
003816.SZ,20240822,20240822,20240630,1,7109286616.72
003816.SZ,20240425,20240425,20240331,1,3604167159.18
003816.SZ,20240425,20240425,20240331,1,3604167159.18
003816.SZ,20240328,20240328,20231231,1,10724570116.68
