ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
300229.SZ,20260423,20260423,20260331,1,-77406889.3
300229.SZ,20260415,20260415,20251231,1,-293749397.56
300229.SZ,20251024,20251024,20250930,1,-160077427.47
300229.SZ,20250821,20250821,20250630,1,-73631172.88
300229.SZ,20250424,20250424,20250331,1,-22929808.7
300229.SZ,20250424,20250424,20250331,1,-22929808.7
300229.SZ,20250418,20250418,20241231,1,-94145629.8
300229.SZ,20241030,20241030,20240930,1,44435749.94
300229.SZ,20240828,20240828,20240630,1,59811558.74
300229.SZ,20240426,20240426,20240331,1,27252720.64
300229.SZ,20240426,20240426,20240331,1,27252720.64
300229.SZ,20240410,20240410,20231231,1,36465973.39
