ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
688322.SH,20260425,20260425,20260331,1,30996569.3
688322.SH,20260425,20260425,20260331,1,30996569.3
688322.SH,20260420,20260420,20251231,1,127909973.81
688322.SH,20251025,20251025,20250930,1,108018962.61
688322.SH,20251025,20251025,20250930,1,108018962.61
688322.SH,20250812,20250812,20250630,1,60190103.28
688322.SH,20250429,20250429,20250331,1,24315014.74
688322.SH,20250422,20250422,20241231,1,-62906948.02
688322.SH,20241025,20241025,20240930,1,-60306520.28
688322.SH,20240824,20240824,20240630,1,-53373140.62
688322.SH,20240430,20240430,20240331,1,-28780669.45
688322.SH,20240430,20240430,20240331,1,-28780669.45
688322.SH,20240409,20240409,20231231,1,-275884797.14
