ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
601138.SH,20260429,20260429,20260331,1,10594857000.0
601138.SH,20260311,20260311,20251231,1,35285561000.0
601138.SH,20251030,20251030,20250930,1,22486768000.0
601138.SH,20250811,20250811,20250630,1,12113357000.0
601138.SH,20250430,20250430,20250331,1,5230775000.0
601138.SH,20250430,20250430,20241231,1,23216469000.0
601138.SH,20241031,20241031,20240930,1,15141032000.0
601138.SH,20240814,20240814,20240630,1,8739098000.0
601138.SH,20240430,20240430,20240331,1,4184884000.0
601138.SH,20240314,20240314,20231231,1,21040193000.0
