ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
000988.SZ,20260427,20260427,20260331,1,638461927.07
000988.SZ,20260427,20260427,20260331,1,638461927.07
000988.SZ,20260326,20260326,20251231,1,1470794704.16
000988.SZ,20251024,20251024,20250930,1,1321308154.48
000988.SZ,20250815,20250815,20250630,1,911149825.31
000988.SZ,20250425,20250425,20250331,1,409904500.42
000988.SZ,20250412,20250412,20241231,1,1220749895.79
000988.SZ,20241025,20241025,20240930,1,937600593.43
000988.SZ,20240816,20240816,20240630,1,624870955.54
000988.SZ,20240426,20240426,20240331,1,289867685.51
000988.SZ,20240328,20240328,20231231,1,1006897166.9
