ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
002594.SZ,20260829,20260829,20260630,1,12325408000.0
002594.SZ,20260829,20260829,20260630,1,12325408000.0
002594.SZ,20260429,20260429,20260331,1,4084551000.0
002594.SZ,20260328,20260328,20251231,1,32619022000.0
002594.SZ,20260328,20260328,20251231,1,32619022000.0
002594.SZ,20251031,20251031,20250930,1,23333173000.0
002594.SZ,20250830,20250830,20250630,1,15510533000.0
002594.SZ,20250426,20250426,20250331,1,9154985000.0
002594.SZ,20250325,20250325,20241231,1,40254346000.0
002594.SZ,20241031,20241031,20240930,1,25238115000.0
002594.SZ,20240829,20240829,20240630,1,13631257000.0
002594.SZ,20240430,20240430,20240331,1,4568793000.0
002594.SZ,20240327,20240327,20231231,1,30040811000.0
