ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
300124.SZ,20260428,20260428,20260331,1,1013451151.58
300124.SZ,20260428,20260428,20251231,1,5050002089.89
300124.SZ,20251024,20251024,20250930,1,4254130654.72
300124.SZ,20250826,20250826,20250630,1,2968388046.74
300124.SZ,20250826,20250826,20250630,1,2968388046.74
300124.SZ,20250429,20250429,20250331,1,1322825045.35
300124.SZ,20250429,20250429,20241231,1,4285493340.7
300124.SZ,20241029,20241029,20240930,1,3353827529.06
300124.SZ,20240827,20240827,20240630,1,2118060738.46
300124.SZ,20240423,20240423,20240331,1,811139196.61
300124.SZ,20240423,20240423,20231231,1,4741863347.2
