ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
000977.SZ,20260430,20260430,20260331,1,604873166.81
000977.SZ,20260430,20260430,20260331,1,604873166.81
000977.SZ,20260411,20260411,20251231,1,2412866308.76
000977.SZ,20251031,20251031,20250930,1,1482046758.25
000977.SZ,20251031,20251031,20250930,1,1482046758.25
000977.SZ,20250827,20250827,20250630,1,798644865.25
000977.SZ,20250430,20250430,20250331,1,462663827.52
000977.SZ,20250329,20250329,20241231,1,2291764648.21
000977.SZ,20241031,20241031,20240930,1,1294269240.41
000977.SZ,20240824,20240824,20240630,1,597013592.01
000977.SZ,20240430,20240430,20240331,1,306458766.73
000977.SZ,20240430,20240430,20240331,1,306458766.73
000977.SZ,20240420,20240420,20231231,1,1782784322.91
