ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
688498.SH,20260428,20260428,20260331,1,179441968.61
688498.SH,20260325,20260325,20251231,1,190924031.75
688498.SH,20251031,20251031,20250930,1,105892793.49
688498.SH,20250830,20250830,20250630,1,46263909.26
688498.SH,20250830,20250830,20250630,1,46263909.26
688498.SH,20250426,20250426,20250331,1,14320164.13
688498.SH,20250426,20250426,20250331,1,14320164.13
688498.SH,20250426,20250426,20241231,1,-6133875.94
688498.SH,20250426,20250426,20241231,1,-6133875.94
688498.SH,20241030,20241030,20240930,1,-550131.14
688498.SH,20240830,20240830,20240630,1,10751292.01
688498.SH,20240426,20240426,20240331,1,10534967.18
688498.SH,20240426,20240426,20231231,1,19479815.27
