ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
601985.SH,20260829,20260829,20260630,1,3641153734.88
601985.SH,20260829,20260829,20260630,1,3641153734.88
601985.SH,20260430,20260430,20260331,1,2064416127.86
601985.SH,20260430,20260430,20260331,1,2064416127.86
601985.SH,20260430,20260430,20251231,1,9304211536.74
601985.SH,20260430,20260430,20251231,1,9304211536.74
601985.SH,20251030,20251030,20250930,1,8002441338.46
601985.SH,20250828,20250828,20250630,1,5666339869.26
601985.SH,20250828,20250828,20250630,1,5666339869.26
601985.SH,20250429,20250429,20250331,1,3136994872.4
601985.SH,20250429,20250429,20250331,1,3136994872.4
601985.SH,20250429,20250429,20241231,1,8777342050.34
601985.SH,20241030,20241030,20240930,1,8933543965.95
601985.SH,20241030,20241030,20240930,1,8933543965.95
601985.SH,20240831,20240831,20240630,1,5881857941.41
601985.SH,20240427,20240427,20240331,1,3058910909.24
601985.SH,20240427,20240427,20231231,1,10623826706.6
