ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
601728.SH,20260424,20260424,20260331,1,7350127688.98
601728.SH,20260325,20260325,20251231,1,33184733428.28
601728.SH,20260325,20260325,20251231,1,33184733428.28
601728.SH,20251022,20251022,20250930,1,30773321357.4
601728.SH,20250815,20250815,20250630,1,23017044187.33
601728.SH,20250426,20250426,20250331,1,8864251916.54
601728.SH,20250426,20250426,20250331,1,8864251916.54
601728.SH,20250326,20250326,20241231,1,33012069907.9
601728.SH,20241023,20241023,20240930,1,29298664914.98
601728.SH,20240821,20240821,20240630,1,21811826965.71
601728.SH,20240424,20240424,20240331,1,8597086263.8
601728.SH,20240327,20240327,20231231,1,30445686138.83
