ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
001309.SZ,20260430,20260430,20260331,1,3346185437.62
001309.SZ,20260430,20260430,20260331,1,3346185437.62
001309.SZ,20260228,20260228,20251231,1,688329031.23
001309.SZ,20251031,20251031,20250930,1,-27076510.69
001309.SZ,20251031,20251031,20250930,1,-27076510.69
001309.SZ,20250822,20250822,20250630,1,-117945626.96
001309.SZ,20250430,20250430,20250331,1,-69087664.28
001309.SZ,20250430,20250430,20250331,1,-69087664.28
001309.SZ,20250426,20250426,20241231,1,350553740.48
001309.SZ,20241031,20241031,20240930,1,421705654.73
001309.SZ,20240831,20240831,20240630,1,387647150.47
001309.SZ,20240430,20240430,20240331,1,195492337.08
001309.SZ,20240227,20240227,20231231,1,24998465.34
