ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
002050.SZ,20260827,20260827,20260630,1,2044064626.07
002050.SZ,20260430,20260430,20260331,1,927621853.77
002050.SZ,20260430,20260430,20260331,1,927621853.77
002050.SZ,20260324,20260324,20251231,1,4062891412.1
002050.SZ,20251031,20251031,20250930,1,3242356551.79
002050.SZ,20250829,20250829,20250630,1,2109940161.19
002050.SZ,20250430,20250430,20250331,1,903416215.84
002050.SZ,20250327,20250327,20241231,1,3099165128.06
002050.SZ,20241031,20241031,20240930,1,2301970695.56
002050.SZ,20240830,20240830,20240630,1,1514515444.75
002050.SZ,20240430,20240430,20240331,1,647742424.05
002050.SZ,20240430,20240430,20231231,1,2920992940.01
