ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
600519.SH,20260815,20260815,20260630,1,44516880421.86
600519.SH,20260815,20260815,20260630,1,44516880421.86
600519.SH,20260425,20260425,20260331,1,27242512886.45
600519.SH,20260425,20260425,20260331,1,27242512886.45
600519.SH,20260417,20260417,20251231,1,82320067101.68
600519.SH,20251030,20251030,20250930,1,64626746712.18
600519.SH,20250813,20250813,20250630,1,45402962298.1
600519.SH,20250430,20250430,20250331,1,26847474238.76
600519.SH,20250403,20250403,20241231,1,86228146421.62
600519.SH,20241026,20241026,20240930,1,60827552118.51
600519.SH,20240809,20240809,20240630,1,41695610983.37
600519.SH,20240427,20240427,20240331,1,24065262374.15
600519.SH,20240403,20240403,20231231,1,74734071550.75
