ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
000063.SZ,20260425,20260425,20260331,1,1310444000.0
000063.SZ,20260425,20260425,20260331,1,1310444000.0
000063.SZ,20260307,20260307,20251231,1,5617745000.0
000063.SZ,20251029,20251029,20250930,1,5321985000.0
000063.SZ,20250829,20250829,20250630,1,5057571000.0
000063.SZ,20250423,20250423,20250331,1,2453172000.0
000063.SZ,20250301,20250301,20241231,1,8424792000.0
000063.SZ,20241022,20241022,20240930,1,7906403000.0
000063.SZ,20241022,20241022,20240930,1,7906403000.0
000063.SZ,20240817,20240817,20240630,1,5732446000.0
000063.SZ,20240426,20240426,20240331,1,2740979000.0
000063.SZ,20240309,20240309,20231231,1,9325753000.0
