ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
002371.SZ,20260430,20260430,20260331,1,1634739048.68
002371.SZ,20260430,20260430,20260331,1,1634739048.68
002371.SZ,20260418,20260418,20251231,1,5521993004.86
002371.SZ,20251031,20251031,20250930,1,5130342602.7
002371.SZ,20250829,20250829,20250630,1,3207978523.58
002371.SZ,20250426,20250426,20250331,1,1580707286.38
002371.SZ,20250426,20250426,20241231,1,5621189109.03
002371.SZ,20241030,20241030,20240930,1,4462521361.56
002371.SZ,20240828,20240828,20240630,1,2780604301.25
002371.SZ,20240430,20240430,20240331,1,1126550627.36
002371.SZ,20240430,20240430,20240331,1,1126550627.36
002371.SZ,20240430,20240430,20231231,1,3899069987.91
