ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
688120.SH,20260423,20260423,20260331,1,247304870.48
688120.SH,20260423,20260423,20251231,1,1083724706.34
688120.SH,20251031,20251031,20250930,1,791422825.58
688120.SH,20250829,20250829,20250630,1,505426126.87
688120.SH,20250429,20250429,20250331,1,233417322.55
688120.SH,20250429,20250429,20241231,1,1023407865.85
688120.SH,20241030,20241030,20240930,1,720702833.04
688120.SH,20240817,20240817,20240630,1,432651363.46
688120.SH,20240427,20240427,20240331,1,202145758.93
688120.SH,20240427,20240427,20231231,1,723746551.15
