ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
300620.SZ,20260423,20260423,20260331,1,44736399.48
300620.SZ,20260324,20260324,20251231,1,176672911.07
300620.SZ,20251023,20251023,20250930,1,115308780.52
300620.SZ,20251023,20251023,20250930,1,115308780.52
300620.SZ,20250818,20250818,20250630,1,51869692.64
300620.SZ,20250424,20250424,20250331,1,10844779.88
300620.SZ,20250329,20250329,20241231,1,66982955.88
300620.SZ,20241023,20241023,20240930,1,55808805.54
300620.SZ,20240820,20240820,20240630,1,30340837.33
300620.SZ,20240424,20240424,20240331,1,6494860.44
300620.SZ,20240403,20240403,20231231,1,59636093.84
