ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
301018.SZ,20260429,20260429,20260331,1,28305819.43
301018.SZ,20260427,20260427,20251231,1,216777173.18
301018.SZ,20251030,20251030,20250930,1,150089281.51
301018.SZ,20250829,20250829,20250630,1,150414291.93
301018.SZ,20250429,20250429,20250331,1,54135208.79
301018.SZ,20250428,20250428,20241231,1,115561619.69
301018.SZ,20241029,20241029,20240930,1,142867454.34
301018.SZ,20241029,20241029,20240930,1,142867454.34
301018.SZ,20240827,20240827,20240630,1,110637265.17
301018.SZ,20240429,20240429,20240331,1,50434076.41
301018.SZ,20240429,20240429,20231231,1,104896459.9
