ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
300033.SZ,20260423,20260423,20260331,1,255938418.37
300033.SZ,20260310,20260310,20251231,1,3205082002.69
300033.SZ,20251023,20251023,20250930,1,1206200411.61
300033.SZ,20251023,20251023,20250930,1,1206200411.61
300033.SZ,20250823,20250823,20250630,1,501859087.71
300033.SZ,20250425,20250425,20250331,1,120393590.22
300033.SZ,20250425,20250425,20250331,1,120393590.22
300033.SZ,20250225,20250225,20241231,1,1823266690.03
300033.SZ,20241024,20241024,20240930,1,650963893.65
300033.SZ,20240824,20240824,20240630,1,362892634.66
300033.SZ,20240424,20240424,20240331,1,103866228.77
300033.SZ,20240227,20240227,20231231,1,1402468555.23
