ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
002335.SZ,20260427,20260427,20260331,1,78008800.49
002335.SZ,20260427,20260427,20260331,1,78008800.49
002335.SZ,20260427,20260427,20251231,1,417988029.54
002335.SZ,20251031,20251031,20250930,1,344499766.09
002335.SZ,20251031,20251031,20250930,1,344499766.09
002335.SZ,20250830,20250830,20250630,1,243539408.57
002335.SZ,20250830,20250830,20250630,1,243539408.57
002335.SZ,20250426,20250426,20250331,1,68944329.58
002335.SZ,20250426,20250426,20250331,1,68944329.58
002335.SZ,20250426,20250426,20241231,1,315174942.76
002335.SZ,20241031,20241031,20240930,1,238065900.17
002335.SZ,20240830,20240830,20240630,1,225623300.47
002335.SZ,20240426,20240426,20240331,1,73545785.36
002335.SZ,20240426,20240426,20231231,1,507552072.78
