ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
688041.SH,20260408,20260408,20260331,1,687094336.71
688041.SH,20260408,20260408,20251231,1,2544890905.62
688041.SH,20260408,20260408,20251231,1,2544890905.62
688041.SH,20251016,20251016,20250930,1,1961446439.52
688041.SH,20250806,20250806,20250630,1,1201451841.15
688041.SH,20250422,20250422,20250331,1,505894195.29
688041.SH,20250301,20250301,20241231,1,1930990510.51
688041.SH,20241016,20241016,20240930,1,1525718345.3
688041.SH,20240815,20240815,20240630,1,853395945.66
688041.SH,20240426,20240426,20240331,1,288537305.29
688041.SH,20240412,20240412,20231231,1,1263178600.37
