ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
600030.SH,20260821,20260821,20260630,1,23343231403.68
600030.SH,20260821,20260821,20260630,1,23343231403.68
600030.SH,20260425,20260425,20260331,1,10216128310.91
600030.SH,20260327,20260327,20251231,1,30076100951.5
600030.SH,20251025,20251025,20250930,1,23158914572.54
600030.SH,20250829,20250829,20250630,1,13719079187.22
600030.SH,20250430,20250430,20250331,1,6545117520.29
600030.SH,20250327,20250327,20241231,1,21703696593.02
600030.SH,20241030,20241030,20240930,1,16798864246.61
600030.SH,20240829,20240829,20240630,1,10569764458.88
600030.SH,20240427,20240427,20240331,1,4958574616.76
600030.SH,20240427,20240427,20240331,1,4958574616.76
600030.SH,20240327,20240327,20231231,1,19720547412.84
