ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
000776.SZ,20260829,20260829,20260630,1,11651737395.81
000776.SZ,20260829,20260829,20260630,1,11651737395.81
000776.SZ,20260428,20260428,20260331,1,4707447205.41
000776.SZ,20260331,20260331,20251231,1,13701548267.44
000776.SZ,20260331,20260331,20251231,1,13701548267.44
000776.SZ,20251031,20251031,20250930,1,10934273133.44
000776.SZ,20250830,20250830,20250630,1,6469747569.48
000776.SZ,20250430,20250430,20250331,1,2757201312.78
000776.SZ,20250430,20250430,20250331,1,2757201312.78
000776.SZ,20250329,20250329,20241231,1,9636829949.09
000776.SZ,20241031,20241031,20240930,1,6764429378.69
000776.SZ,20240831,20240831,20240630,1,4362371717.16
000776.SZ,20240430,20240430,20240331,1,1538328759.88
000776.SZ,20240430,20240430,20240331,1,1538328759.88
000776.SZ,20240329,20240329,20231231,1,6977799497.16
