ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
688521.SH,20260430,20260430,20260331,1,-340842945.2
688521.SH,20260430,20260430,20260331,1,-340842945.2
688521.SH,20260331,20260331,20251231,1,-527813327.29
688521.SH,20251028,20251028,20250930,1,-346699657.97
688521.SH,20250823,20250823,20250630,1,-319848567.48
688521.SH,20250426,20250426,20250331,1,-220343448.02
688521.SH,20250426,20250426,20250331,1,-220343448.02
688521.SH,20250426,20250426,20241231,1,-600879358.5
688521.SH,20241031,20241031,20240930,1,-395858494.37
688521.SH,20240809,20240809,20240630,1,-284804712.22
688521.SH,20240427,20240427,20240331,1,-206983900.85
688521.SH,20240330,20240330,20231231,1,-296466724.17
