ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
688111.SH,20260424,20260424,20260331,1,2195163937.16
688111.SH,20260424,20260424,20260331,1,2195163937.16
688111.SH,20260326,20260326,20251231,1,1836468727.81
688111.SH,20251028,20251028,20250930,1,1178437522.7
688111.SH,20250821,20250821,20250630,1,747204516.37
688111.SH,20250424,20250424,20250331,1,402807538.27
688111.SH,20250424,20250424,20250331,1,402807538.27
688111.SH,20250320,20250320,20241231,1,1645080509.02
688111.SH,20241026,20241026,20240930,1,1039877046.95
688111.SH,20240821,20240821,20240630,1,721437815.34
688111.SH,20240424,20240424,20240331,1,367017201.69
688111.SH,20240321,20240321,20231231,1,1317737042.69
