ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
300408.SZ,20260424,20260424,20260331,1,790899567.77
300408.SZ,20260328,20260328,20251231,1,2618384303.84
300408.SZ,20251030,20251030,20250930,1,1958519092.37
300408.SZ,20250829,20250829,20250630,1,1237137884.03
300408.SZ,20250429,20250429,20250331,1,532651401.44
300408.SZ,20250424,20250424,20241231,1,2190449376.24
300408.SZ,20241030,20241030,20240930,1,1603287677.19
300408.SZ,20241030,20241030,20240930,1,1603287677.19
300408.SZ,20240830,20240830,20240630,1,1025546198.66
300408.SZ,20240427,20240427,20240331,1,432978973.88
300408.SZ,20240427,20240427,20240331,1,432978973.88
300408.SZ,20240427,20240427,20231231,1,1580985985.13
