ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
688766.SH,20260429,20260429,20260331,1,251112055.65
688766.SH,20260321,20260321,20251231,1,207520637.42
688766.SH,20251031,20251031,20250930,1,59049216.37
688766.SH,20251031,20251031,20250930,1,59049216.37
688766.SH,20250822,20250822,20250630,1,40733416.3
688766.SH,20250429,20250429,20250331,1,18465821.97
688766.SH,20250429,20250429,20250331,1,18465821.97
688766.SH,20250331,20250331,20241231,1,292416562.47
688766.SH,20241026,20241026,20240930,1,224750378.34
688766.SH,20240828,20240828,20240630,1,135983443.55
688766.SH,20240429,20240429,20240331,1,49923908.78
688766.SH,20240416,20240416,20231231,1,-48274289.54
